作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	東京都	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0023	0003	完了	東京都	千代田区	AnimePlaza 秋葉原店	101-0021	東京都千代田区外神田1-13-1	Akiba1131ビル 4F	35.698831	139.771560	"https://www.google.co.jp/maps/@35.6988887,139.7713661,3a,37y,105.51h,127.79t/data=!3m6!1e1!3m4!1szUQ39u6Xs6mj4fkUVATyGA!2e0!7i16384!8i8192"					03-5298-1291	AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、伝木凱にわかが来店中に爆発事故があったと聞いた伝木凱タモツが駆けつけた店で、万世架まとめと破繰者（バグリモノ）との戦いが繰り広げられていました。<br />作中ではビル4階のカフェの部分が爆発で穴が空いていました。	http://www.adores.jp/anipla/			チヨダク	ア	13	17	2	
0023	0018	完了	東京都	千代田区	Akiba1131ビル	101-0021	東京都千代田区外神田1-13-1		35.698838	139.771613	"https://www.google.co.jp/maps/@35.6988887,139.7713661,3a,37y,105.51h,127.79t/data=!3m6!1e1!3m4!1szUQ39u6Xs6mj4fkUVATyGA!2e0!7i16384!8i8192"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、伝木凱にわかが来店中に爆発事故があったと聞いた伝木凱タモツが駆けつけたビルで、作中ではビル4階のカフェの部分が爆発で穴が空いていました。<br />4階のコラボカフェでの戦闘の後、屋上に場所を移した戦闘でタモツが瀕死の重傷を負い、				チヨダク	ア	13	17	2	
0023	0037	完了	東京都	千代田区	アドアーズ 秋葉原店	101-0021	東京都千代田区外神田1-13-1		35.698769	139.771513	"https://www.google.co.jp/maps/@35.6986985,139.7713961,3a,28.9y,59.24h,96.52t/data=!3m6!1e1!3m4!1sPPQoPMmINRT19J5EHo5gTQ!2e0!7i16384!8i8192"				4		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第5話冒頭で、万世架まとめかが、破繰者（バグリモノ）を倒すための特訓と言って脱衣麻雀ゲームをプレイしていたゲームセンターで、懐かしさからプレイした『ストリートファイターII』で天才美少女ゲーマーのマツコと出会い、一緒に店に来ていてクレーンゲームをしていた伝木凱にわかは破繰者に拉致されていました。				チヨダク	ア	13	17	2	
0023	0062	完了	東京都	千代田区	中央通り（JR高架の南側）	101-0021	東京都千代田区外神田1-14		35.698195	139.771240	"https://www.google.com/maps/@35.6981966,139.7714652,3a,78y,337.7h,126.61t/data=!3m6!1e1!3m4!1s2Z8c1G_2yXD3JAl-JzQrKA!2e0!7i16384!8i8192"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	作品のキービジュアルやオープニングをはじめ、各話各所でも頻繁に描かれていた場所で、宝田中央通りビルやオノデン 本館、JR線高架などが描かれていました。				チヨダク	ア	13	17	2	
0023	0048	完了	東京都	千代田区	めいどりーみん 秋葉原 電気街口駅前店	101-0021	東京都千代田区外神田1-14-1	宝田中央通りビル 2～3F	35.698303	139.771522	-						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第6話で、伝木凱タモツとぴゅう子改2のデートシーンで、2人がお茶していたメイドカフェ。円形に空が描かれた天井が特徴です。				チヨダク	ア	13	17	2	
0023	0027	完了	東京都	千代田区	秋葉原ラジオ会館	101-0021	東京都千代田区外神田1-15		35.698127	139.772034	"https://www.google.co.jp/maps/@35.6981807,139.7721316,3a,80y,218.81h,118.6t/data=!3m6!1e1!3m4!1syH-YiE_81pmLm-9DwN5N1w!2e0!7i16384!8i8192"				1		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第3話で、アイドルにスカウトされた伝木凱にわかが、ビル前でチョコバナナを食べる姿を撮影されていました。<br />第6話では、伝木凱タモツが動けるようになったぴゅう子改2を案内し、「ここには俺の青春の幻影が詰まっていると言っても過言ではない」と語っていました。<br />オープニングで、大量の家電製品の箱を持った有紗・アホカイネンのカットも、このビル前でした。				チヨダク	ア	13	17	2	
0023	0063	完了	東京都	千代田区	石丸電気 駅前店	101-0021	東京都千代田区外神田1-15-4		35.698017	139.771508	"https://www.google.co.jp/maps/@35.6983177,139.7711547,3a,54.2y,137.04h,109.97t/data=!3m6!1e1!3m4!1sFR7hKRwc7Noi1vEew-AvKg!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第13話で、万世架まとめかが伝木凱タモツに語った過去の回想シーンで描かれていた家電量販店。<br />※2007年10月に「石丸電気パソコン館」としてリニューアルされ、2018年11月3日に閉店。				チヨダク	ア	13	17	2	閉店
0023	0002	完了	東京都	千代田区	秋葉原駅電気街口（南側）	101-0021	東京都千代田区外神田1-17		35.698162	139.772079	"https://www.google.co.jp/maps/@35.6981658,139.772108,3a,45.6y,274.46h,104.66t/data=!3m6!1e1!3m4!1sCq7nS0Tl-qv4P7T-irtaYA!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、伝木凱タモツが逃げ回った末にエウリアン（絵画セールスの女性）に捕まってしまうも、重度の中二病オタクを装って追い払っていた場所。				チヨダク	ア	13	17	2	
0023	0060	完了	東京都	千代田区	JR 秋葉原駅	101-0021	東京都千代田区外神田1-17-6		35.698568	139.772598	"https://www.google.com/maps/@35.6991185,139.7727395,3a,15y,189.85h,98.06t/data=!3m6!1e1!3m4!1sV_Uw4WKr8SxX1MZQGZL7dg!2e0!7i16384!8i8192"				5		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第8話冒頭カットで電気街口北側の駅ビルが描かれていました。<br />第11話で、伝木凱タモツたちが、「電気マヨネーズと愉快な仲間たち」を騙って秋葉原で悪事を繰り返していた万世架うらめと、タモツと有紗の偽物と戦っているシーンでも、背後に駅ビルが描かれていました。				チヨダク	ア	13	17	2	
0023	0059	完了	東京都	千代田区	秋葉原電気街口駅前広場	101-0021	東京都千代田区外神田1-18		35.698777	139.772581	"https://www.google.com/maps/@35.6985493,139.7726033,2a,39.9y,8.29h,93.62t/data=!3m6!1e1!3m4!1sXlxi2dswxNyukHkxrQtXaw!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第8話冒頭カットで描かれていた広場。<br />同話で、有紗・アホカイネンとシ・ショウが対決した大武闘会のリングが設営されていたのも、この広場でした。<br />第11話で、伝木凱タモツたちが準備していたアキバフェスの会場もこの広場で、ステージが設営されており、タモツたちが「電気マヨネーズと愉快な仲間たち」を騙って秋葉原で悪事を繰り返していた偽物と戦っていました。<br />第12話では、広場で万世架まとめと万世架うらめが対決していました。<br />第13話では、中止されていたアキバフェスがこの広場で無事開催されっていました。				チヨダク	ア	13	17	2	
0023	0047	完了	東京都	千代田区	秋葉原駅前プラザビル	101-0021	東京都千代田区外神田1-18-18		35.698762	139.772276	-						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第13話で、アキバ特命大臣に就任したがかげさん（面影三太）が、ステージでスピーチをしていたシーンで描かれていたビル。作中ではこのビルの正面にステージが設営されていました。				チヨダク	ア	13	17	2	
0023	0031	完了	東京都	千代田区	Bar HONEST	101-0021	東京都千代田区外神田2-6-4	金村ビル B１F	35.700330	139.768596	"https://www.google.com/maps/@35.700338,139.7685335,3a,64y,341.08h,79.2t/data=!3m7!1e1!3m5!1sCAoSLEFGMVFpcE1GUzBiWk5SakZnUnE1eWRBQXQ0UTgzZ3FYaWpwaHVPVUtYUHRW!2e10!3e12!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第3話で、かげさん（面影三太）が万世架まとめがイヤースピーカーを購入していたeイヤホン秋葉原店（作中では「G★イヤホンズ」）の店長と、まとめのことを話していたバー。				チヨダク	ア	13	17	2	
0023	0004	完了	東京都	千代田区	秋葉原ガチャポン会館	104-0061	東京都千代田区外神田3-1-5		35.701857	139.771219	"https://www.google.co.jp/maps/@35.7019437,139.7712898,3a,43.1y,210.29h,94.09t/data=!3m6!1e1!3m4!1sJNrd6ADDvH7BACZXMZIIVg!2e0!7i13312!8i6656"					03-5209-6020	AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第6話の伝木凱タモツとぴゅう子改2のデートシーンのカットで、店前を歩く2人の姿が描かれていました。<br />第11話では、「いっぱい回してやったから感謝しろよ。～電気マヨネーズと愉快な仲間たち」というメッセージカードを残し、店内が空きカプセルで埋め尽くされ、山積みされていました。	akibagacha.com			チヨダク	ア	13	17	2	
0023	0005	完了	東京都	千代田区	らーめん 影武者	101-0021	東京都千代田区外神田3-4-1		35.701314	139.769446	"https://www.google.co.jp/maps/@35.701414,139.7692694,3a,15y,113.71h,89.93t/data=!3m6!1e1!3m4!1ssaeHMAh5Cx1Z7d1qquv6Qw!2e0!7i13312!8i6656"				5	03-3253-2922	AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第10話の伝木凱タモツと万世架まとめのデートで、タモツがおすすめの店だと言ってまとめを連れて来たラーメン屋。デート4件目（実際には8件目）。<br />店のラーメンを食べ尽くし、大食いの賞金を強要するフードソルジャー・ブラックホール黒田に遭遇していました。				チヨダク	ア	13	17	2	
0023	0016	完了	東京都	千代田区	芳林公園	101-0021	東京都千代田区外神田3-5-18		35.701601	139.769719	"https://www.google.co.jp/maps/@35.7016338,139.7699232,2a,22y,271.59h,82.8t/data=!3m6!1e1!3m4!1sQt6erodFKUnZXsancfYwhw!2e0!7i13312!8i6656"				4		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、伝木凱タモツと伝木凱にわかが、ベンチでケバブを食べていた公園。<br />第5話では、拉致されたにわかを助けるべく、タモツがタスジン・ラトゥ博士が開発したほぼ拷問と思われる格闘ゲームの特訓を受けていたのもこの公園で、特訓の結果、スイカを指連打で破壊する幻の16連射を習得していました。<br />第10話では、タモツと万世架まとめの食べ歩きデートで、2人がベンチで休憩をしていました。<br />同話の、まとめ（バキューム万世架）とフードソルジャー・ブラックホール黒田による秋葉原大食い大会も、この公園で行われていました。				チヨダク	ア	13	17	2	
0023	0022	完了	東京都	千代田区	GUN&MILITARY ECHIGOYA 秋葉原店	101-0021	東京都千代田区外神田3-8-9	昌徳ビル2F	35.702779	139.770973	"https://www.google.co.jp/maps/@35.7028926,139.7711177,3a,27y,243.22h,95.47t/data=!3m6!1e1!3m4!1s2vW1NTAEacs2ID_nOlRxZw!2e0!7i16384!8i8192"				4		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第2話で、伝木凱タモツたち「電気マヨネーズ」一行が、マシロの紹介所でバイト先として紹介された店で、店長が破繰者（バグリモノ）の上級種となっており、店内が破繰者たちとの戦場となっていました。				チヨダク	ア	13	17	2	
0023	0015	完了	東京都	千代田区	スターケバブ前の通り	101-0021	東京都千代田区外神田3-10		35.701237	139.770949	"https://www.google.co.jp/maps/@35.7013607,139.7709492,3a,24y,186.67h,93.49t/data=!3m6!1e1!3m4!1s43_ohSog_AoqltBr4OE0bw!2e0!7i13312!8i6656"				4		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、空から飛来した万世架まとめが、追ってきた破繰者（バグリモノ）たちと戦闘を繰り広げていた通りで、牛丼専門サンボ、ドスパラ秋葉原別館前辺りから南側を望む構図で通りが描かれていました。<br />まとめが、破繰者の女の子と格闘戦の末、脱衣させていたのは、秋葉原ディアステージ、ラホール 外神田店の前で、逃げるように跳ね上っていたビルは白銀会館でした。				チヨダク	ア	13	17	2	
0023	0017	完了	東京都	千代田区	紙風船	101-0021	東京都千代田区外神田3-10-3		35.701164	139.770578	"https://www.google.co.jp/maps/@35.7011904,139.7704822,3a,90y,105.31h,118.8t/data=!3m6!1e1!3m4!1sexjFKrl-Bgvf3YTkjTJBzA!2e0!7i13312!8i6656"				1		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、伝木凱タモツが、有紗・アホカイネンとカンゾウブルーのフィギュアを取り合っていた店。<br />作中では、店名が「貝独楽」になっていました。<br />※2017年3月26日に閉店。店舗のあったビルも2019年に解体済。				チヨダク	ア	13	17	2	解体
0023	0013	完了	東京都	千代田区	スターケバブ・アキバテラス 前	101-0021	東京都千代田区外神田3-10-7		35.701416	139.770910	"https://www.google.co.jp/maps/@35.7014012,139.7709552,3a,90y,277.67h,95.59t/data=!3m6!1e1!3m4!1s-RJa4SamCXpycMlDGEyKbg!2e0!7i13312!8i6656"				1		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、、伝木凱タモツがエウリアン（絵画セールスの女性）に追われて逸れてしまった伝木凱にわかと合流していた場所。<br />第6話で、自作PCパーツを買い終えたタモツとかげさん（面影三太）がケバブを買い食いしていたのも、この店前でした。				チヨダク	ア	13	17	2	
0023	0012	完了	東京都	千代田区	スターケバブ・アキバテラス 脇	101-0021	東京都千代田区外神田3-10-7		35.701372	139.770951	"https://www.google.co.jp/maps/@35.7013639,139.7709567,3a,90y,274.75h,91.94t/data=!3m6!1e1!3m4!1sdMZ238dPtPOcUZvx06xZnQ!2e0!7i16384!8i8192"				1		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、万世架まとめが空から墜落していた場所。				チヨダク	ア	13	17	2	
0023	0055	完了	東京都	千代田区	三月兎 3号店	101-0021	東京都千代田区外神田3-10-8	中澤ビル1F	35.700638	139.770533	"https://www.google.com/maps/@35.7005859,139.770433,3a,30.1y,33.8h,90.47t/data=!3m6!1e1!3m4!1seP8eSlBszPTyFZKqyBRXWw!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第6話の伝木凱タモツとぴゅう子改2のデートシーンのカットで、店に入る2人の姿が描かれていた店の一つ。<br />※				チヨダク	ア	13	17	2	
0023	0020	完了	東京都	千代田区	秋葉原ディアステージ	101-0021	東京都千代田区外神田3-10-9	DEMPA ビル	35.701105	139.770875	"https://www.google.co.jp/maps/@35.7010656,139.7709244,3a,52y,300.68h,89.96t/data=!3m6!1e1!3m4!1sSmKZEcx9jkoExiQWOmpqWA!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、万世架まとめが破繰者（バグリモノ）と格闘戦を演じていた背後に描かれていた店で、第3話では、伝木凱タモツが見に行っていた、アキバ系アイドル・汐田伊緒のライブが行われており、同話ラストでは、アイドルデビューした「まにあーず」（万世架まとめ、有紗・アホカイネン、伝木凱にわか）の3人が初ライブを行っていました。				チヨダク	ア	13	17	2	
0023	0038	完了	東京都	千代田区	マルツ 秋葉原本店	101-0021	東京都千代田区外神田3-10-10		35.700923	139.770847	"https://www.google.co.jp/maps/@35.7008331,139.7708968,3a,43y,318.53h,89.47t/data=!3m6!1e1!3m4!1s9Vn2bEk_s6PacSAjmV0Kiw!2e0!7i16384!8i8192"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第6話で、伝木凱タモツがかげさん（面影三太）と自作PCパーツを買いに行くシーンの冒頭カットで描かれていた店舗。				チヨダク	ア	13	17	2	
0023	0006	完了	東京都	千代田区	雁川	101-0021	東京都千代田区外神田3-10-10		35.700990	139.770819	"https://www.google.co.jp/maps/@35.7008351,139.7708724,3a,20y,308.78h,90.55t/data=!3m6!1e1!3m4!1shVj9EHq1xgjeYLzxfz3x_A!2e0!7i13312!8i6656"				5	03-3255-2388	AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第10話の伝木凱タモツと万世架まとめのデートで、まとめが「おすすめアキバグルメ」と言ってタモツを連れて来た中華料理屋。デート2件目。<br />土日限定の牛すじあんかけチャーハンを頼んでいました。				チヨダク	ア	13	17	2	
0023	0007	完了	東京都	千代田区	ベンガル	101-0021	東京都千代田区外神田3-10-12	日加石油ビル1F	35.700943	139.770725	"https://www.google.co.jp/maps/@35.7008559,139.7707563,3a,50.6y,339.93h,83.89t/data=!3m6!1e1!3m4!1sD9c0fLt3v_xAxV9eCbUwZQ!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第10話の伝木凱タモツと万世架まとめのデートで、まとめが「おすすめアキバグルメ」と言ってタモツを連れて来たカレー屋。デート1件目。<br />ビーフ角切りカレーとラッシーを頼んでいました。<br />※1973年創業の老舗カレー屋でしたが、ビル建替えのために2017年8月22日に閉店。2018年3月16日に、外神田3丁目6-1 丸山ビル1階へと場所を移して再オープンしました。	http://www.bengal-curry.com			チヨダク	ア	13	17	2	解体
0023	0064	完了	東京都	千代田区	ショップインバース 秋葉原2号店	101-0021	東京都千代田区外神田3-10-12		35.700949	139.770548	"https://www.google.co.jp/maps/@35.7009379,139.7704658,3a,43y,66.45h,83.56t/data=!3m6!1e1!3m4!1sVsNTmoCpdWAq1TFuENP5zA!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第6話で、万世架まとめが、ぴゅう子に夢中な伝木凱タモツをパトロールに連れ出したシーンで、タモツが店頭に並ぶモニターに目を奪われていた店。				チヨダク	ア	13	17	2	
0023	0041	完了	東京都	千代田区	秋葉原ジャンク通り（MiS秋葉原店前）	101-0021	東京都千代田区外神田3-11		35.700862	139.770457	"https://www.google.co.jp/maps/@35.7008755,139.7704612,3a,50.3y,179.9h,86.84t/data=!3m6!1e1!3m4!1sfK9Na6oMS5hLT7LPVUJW7A!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第6話で、万世架まとめが、ぴゅう子に夢中な伝木凱タモツをパトロールに連れ出したシーンで、店頭のモニターに目を奪われて立ち止まるタモツをまとめが振り返っていた場所。				チヨダク	ア	13	17	2	
0023	0056	完了	東京都	千代田区	ニッピン秋葉原本店前の通り	101-0021	東京都千代田区外神田3-11		35.700259	139.770707	"https://www.google.com/maps/@35.7003042,139.7704155,3a,43.2y,95.09h,98.87t/data=!3m6!1e1!3m4!1sEu78GYoeYLqNz70GfpihAA!2e0!7i16384!8i8192"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第10話で、芳林公園でのまとめ（バキューム万世架）とフードソルジャー・ブラックホール黒田による秋葉原大食い大会の後、伝木凱タモツたち「電気マヨネーズ」一行が、歩いていた場所で、秋葉原ジャンク通りから東側を望む構図で、ニッピン秋葉原本店やソフマップの看板や、タイトーステーション 秋葉原店などが描かれていました。				チヨダク	ア	13	17	2	
0023	0030	完了	東京都	千代田区	住友不動産秋葉原ビル 前	101-0021	東京都千代田区外神田3-12		35.700143	139.771260	-						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第2話で、伝木凱タモツが自警団のチーム名を「電気マヨネーズと愉快な仲間たち」と決定していた場所で、中央通り自警団（小桜、昌平、聖）に昨日の騒動に関わっているのではないかと問い詰められていました。				チヨダク	ア	13	17	2	
