作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所		座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0979	11	完了	香川県	坂出市	こなもんや ふぅちゃん イオン坂出店	762-0001	香川県坂出市京町1-4-18	イオン坂出店1F	34.314229	133.857425	-					0877-55-6334	結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、いつも学校や待ち合わせに遅刻する理由を探るために三ノ輪銀を尾行していた鷲尾須美と乃木園子が、その理由を理解し、尾行を打ち明けて銀と一緒に食事をしていた店。店内のフードコートになります。銀がハサミで切って食べていたメガ・チキンが実際に存在します。須美と園子はうどんを食べていましたが、この店にはうどんのメニューはありません。作中では描かれていませんでしたが、同じフードコートにかつて在った「どん（セリフうどん）」の店のうどんだと思われます。				サカイデシ	ユ	37	8	7	
0979	12	完了	香川県	坂出市	春日神社	762-0025	香川県坂出市川津町		34.292655	133.856479	-						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	オープニングで鷲尾須美がいた神社。第4話では、須美と乃木園子が浴衣を着て遊びに行った夜祭の会場となっていました。				サカイデシ	ユ	37	8	7	
0979	13	完了	香川県	坂出市	春日神社 鳥居	762-0025	香川県坂出市川津町		34.291971	133.856969	"https://www.google.co.jp/maps/@34.2918645,133.8570692,3a,43y,341.65h,96.56t/data=!3m6!1e1!3m4!1sbWOjFLhlOOqTkGoutwS6ig!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカットで描かれていた場所2。				サカイデシ	ユ	37	8	7	
0979	14	完了	香川県	坂出市	春日神社 鳥居脇	762-0025	香川県坂出市川津町		34.291882	133.856962	"https://www.google.co.jp/maps/@34.2917268,133.8571595,3a,15y,316.52h,89.59t/data=!3m6!1e1!3m4!1s_cOzWhLec0_dLoK7AODgcg!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第3話で、休みを一緒に過ごした鷲尾須美、乃木園子、三ノ輪銀の3人が歩いていた場所で、2人と帰り道が違う銀が別れようとするのを、須美が思わず引き止めてしまっていました。				サカイデシ	ユ	37	8	7	
0979	15	完了	香川県	坂出市	グランドヒルズ川津東山から飯野山を望む景色	762-0025	香川県坂出市川津町		34.293585	133.858954	"https://www.google.co.jp/maps/@34.2935414,133.8598571,3a,35y,190.81h,93.69t/data=!3m6!1e1!3m4!1sHCwaWEehJhh1BaZUlC0ksg!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカットで描かれていた場所1。				サカイデシ	ユ	37	8	7	
0979	16	完了	香川県	坂出市	グランドヒルズ川津東山 脇	762-0025	香川県坂出市川津町		34.293762	133.858757	"https://www.google.co.jp/maps/@34.293852,133.8587431,3a,18.5y,189.2h,84.81t/data=!3m6!1e1!3m4!1sqeS89VIV-voLqiiXwumtAA!2e0!7i13312!8i6656"				4.5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第5話で、鷲尾須美、乃木園子が花火を見ていた場所。				サカイデシ	ユ	37	8	7	
0979	17	完了	香川県	坂出市	坂道	762-0025	香川県坂出市川津町		34.293421	133.858947	"https://www.google.co.jp/maps/@34.2932381,133.8590738,3a,64.3y,347h,86.34t/data=!3m6!1e1!3m4!1sJLiWySsaNUqID9nzEzCnzQ!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第5話で、鷲尾須美、乃木園子が花火を見るスポットへ向かうシーンで描かれていた坂				サカイデシ	ユ	37	8	7	
0979	18	完了	香川県	坂出市	水田前から常山を望む景色	762-0025	香川県坂出市川津町		34.286784	133.852310	"https://www.google.co.jp/maps/@34.2867774,133.8523883,3a,26y,39.09h,91.57t/data=!3m7!1e1!3m5!1sCvJJ-V6ZYjT6OGJwFnRUtw!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DCvJJ-V6ZYjT6OGJwFnRUtw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D276.52472%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、鷲尾須美と乃木園子が三ノ輪銀の遅刻癖の理由を突き止めるために銀の家に向かうシーンの冒頭カットで描かれていた風景。				サカイデシ	ユ	37	8	7	
0979	19	完了	香川県	坂出市	城山川沿いの道	762-0025	香川県坂出市川津町		34.287356	133.853197	"https://www.google.co.jp/maps/@34.2874274,133.8526542,3a,15.5y,105.43h,86.04t/data=!3m6!1e1!3m4!1sth3tSsHF8OxNCZa8L1AUmQ!2e0!7i13312!8i6656"				5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、三ノ輪銀の遅刻癖の理由を突き止めるために銀の家に向かう鷲尾須美と乃木園子が歩いていた道。				サカイデシ	ユ	37	8	7	
0979	20	完了	香川県	坂出市	法城寺裏	762-0025	香川県坂出市川津町		34.286712	133.852314	"https://www.google.co.jp/maps/@34.2867463,133.8523885,3a,28y,77.15h,93.11t/data=!3m6!1e1!3m4!1sgDixVndFlm1sjUjLFRl3AQ!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、三ノ輪銀の遅刻癖の理由を突き止めるために銀の家に向かう鷲尾須美が、蟻の行列に気を取られて道草をする乃木園子を無理やり引っ張っていた場所。				サカイデシ	ユ	37	8	7	
0979	21	完了	香川県	坂出市	山正電化前バス停	762-0025	香川県坂出市川津町		34.299707	133.848301	"https://www.google.co.jp/maps/@34.3000483,133.8482294,3a,40.4y,182.94h,95.09t/data=!3m6!1e1!3m4!1sYe0uqu1IsX4S6qxsUvNwaw!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、合宿に向かう鷲尾須美、乃木園子、三ノ輪銀が乗る貸し切りバスが停まっていた場所。				サカイデシ	ユ	37	8	7	
0979	22	完了	香川県	坂出市	坂出綾歌淡水漁協前	762-0025	香川県坂出市川津町		34.298142	133.848561	"https://www.google.co.jp/maps/@34.298514,133.8485056,3a,40.9y,169.87h,94.6t/data=!3m6!1e1!3m4!1sjkmLyCPT2Eo0lYO6JSDaSQ!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、鷲尾須美、乃木園子、三ノ輪銀が乗る貸し切りバスが合宿先へ向けて走っていた場所。				サカイデシ	ユ	37	8	7	
0979	23	完了	香川県	坂出市	川津幼稚園 前	762-0025	香川県坂出市川津町3093−2		34.293544	133.856401	-						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカットで描かれていた場所3。				サカイデシ	ユ	37	8	7	
0979	24	完了	香川県	坂出市	鎌田池沿いの道	762-0026	香川県坂出市小山町1-26		34.299661	133.849762	"https://www.google.co.jp/maps/@34.2996567,133.84982,3a,48.7y,271.94h,80.85t/data=!3m6!1e1!3m4!1sDLKuuQiAh6yt0ycOMqMRAw!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第3話で、休日に駅前で合流して一緒に過ごした鷲尾須美、乃木園子、三ノ輪銀の3人が、日暮れ頃になって歩いていた場所。				サカイデシ	ユ	37	8	7	
0979	25	完了	香川県	坂出市	鎌田池沿いの住宅	762-0026	香川県坂出市小山町1-40		34.299817	133.851179	"https://www.google.co.jp/maps/@34.2998796,133.8509522,3a,31.7y,88.43h,101.85t/data=!3m6!1e1!3m4!1sw2WLCCvKSXUz7AbxiDDAcg!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第3話で、鷲尾須美、乃木園子、三ノ輪銀の3人が休日に駅前で合流して一緒に過ごしたシーンで、時間が経過して日暮れとなった町のカットで描かれていた住宅。				サカイデシ	ユ	37	8	7	
0979	26	完了	香川県	坂出市	鎌田池公園脇の道	762-0027	香川県坂出市大池町1		34.300178	133.855318	"https://www.google.co.jp/maps/@34.3003027,133.8553637,3a,15y,205.08h,91.83t/data=!3m6!1e1!3m4!1sURbFsi6-0WztIiIHDTdaTA!2e0!7i13312!8i6656"				5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカットで描かれていた場所4。				サカイデシ	ユ	37	8	7	
0979	27	完了	香川県	坂出市	鎌田池沿いの道	762-0036	香川県坂出市花町7		34.301286	133.849529	-						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	オープニングで三ノ輪銀が歩いていた場所。				サカイデシ	ユ	37	8	7	
0979	28	完了	香川県	坂出市	坂出市郷土資料館	762-0043	香川県坂出市寿町1-3-5		34.313965	133.849890							結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	鷲尾須美たちが通う「神樹館」のモデル。				サカイデシ	ユ	37	8	7	
0979	29	完了	香川県	坂出市	香風園	762-0044	香川県坂出市本町1-3489-2		34.313291	133.852772	-						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	オープニングで乃木園子が池に掛かった橋を渡っていた場所。				サカイデシ	ユ	37	8	7	
0979	30	完了	香川県	坂出市	坂出市市民広場	762-0045	香川県坂出市元町1-1		34.313715	133.857433	"https://www.google.co.jp/maps/@34.3137637,133.8574561,3a,40y,170.74h,90.65t/data=!3m6!1e1!3m4!1s_7bPSBQh3M1lZZgPQFkYjw!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、鷲尾須美と乃木園子が尾行していることに気づかず買い物に向かう三ノ輪銀が、逃げ出した散歩の犬を捕まえてあげていた場所。第3話で、買い物帰りの銀の家族が休んでいたのも同じ場所でした。				サカイデシ	ユ	37	8	7	
0979	31	完了	香川県	坂出市	坂出市市民広場沿いの歩道	762-0045	香川県坂出市元町1-1		34.313751	133.857846	"https://www.google.co.jp/maps/@34.313741,133.8585046,3a,15y,269.97h,89.93t/data=!3m6!1e1!3m4!1s4lA0UgzC2qKaRKe_vOGq4w!2e0!7i13312!8i6656"				5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、鷲尾須美と乃木園子が尾行していることに気づかず買い物に向かう三ノ輪銀が、困っているお年寄りに声をかけて助けていた場所。				サカイデシ	ユ	37	8	7	
0979	32	完了	香川県	坂出市	瀬戸大橋	762-0065	香川県坂出市番の州緑町		34.355392	133.828218	"https://www.google.co.jp/maps/@34.3526529,133.8262225,3a,43.7y,105.69h,96.73t/data=!3m8!1e1!3m6!1sAF1QipN6cJEXxnNoE3EXigwp1vwBQh1csHFJz7QsYIKI!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipN6cJEXxnNoE3EXigwp1vwBQh1csHFJz7QsYIKI%3Dw203-h100-k-no-pi-0-ya127.73246-ro0-fo100!7i7168!8i3584"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカットで描かれていた場所5。				サカイデシ	ユ	37	8	7	
0979	33		香川県	坂出市	瀬戸大橋記念館	762-0065	香川県坂出市番の州緑町6-13		34.352869	133.826165							結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話で、バーテックスの初戦を終えた鷲尾須美たちが、元の世界に戻った際に居た場所。作中では社が描き足されています。				サカイデシ	ユ	37	8	7	
0979	34	完了	香川県	坂出市	瀬戸大橋記念館公園	762-0065	香川県坂出市番の州緑町6-13		34.351389	133.827036	-						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話以降、バーテックスとの戦いを終えた鷲尾須美たちが、樹海化が解かれた元の世界に戻ってくる場所。	http://www.setoohhashi.com			サカイデシ	ユ	37	8	7	
0979	35		香川県	坂出市	沙弥島・ナカンダ浜	762-0066	香川県坂出市沙弥島		34.351113	133.821277							結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	オープニングで鷲尾須美、乃木園子、三ノ輪銀の3人が歩いていた浜。				サカイデシ	ユ	37	8	7	
0979	36	完了	香川県	観音寺市	善通寺市民プール	765-0031	香川県善通寺市金蔵寺町398-6		34.238347	133.791329	-					0877-63-3555	結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第3話で、鷲尾須美たちが遊びにきていたプール。				カンオンジシ	ユ	37	12	7	
0979	37	完了	香川県	観音寺市	路地	768-0076	香川県観音寺市港町1-6		34.126214	133.635757	"https://www.google.co.jp/maps/@34.1261543,133.6355981,3a,29y,71h,88.87t/data=!3m6!1e1!3m4!1s0b2zxflx2Btd1ZWlkDERUg!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話で、国防仮面が捕まえたひったくり犯が逃げていた路地。				カンオンジシ	ユ	37	12	7	
0979	38	完了	香川県	観音寺市	観音寺港	768-0076	香川県観音寺市港町2-7		34.125668	133.634419	"https://www.google.co.jp/maps/@34.1257284,133.6350474,3a,16y,243.23h,85.64t/data=!3m6!1e1!3m4!1st_eUQkedj4Wll5oLmcb_OA!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカット5で、学生たちが店を覗く姿が描かれていました。				カンオンジシ	ユ	37	12	7	
0979	39		香川県	三豊市	仁尾サンビーチ	769-1408	香川県三豊市仁尾町曽保浦の谷		34.177936	133.647485							結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、鷲尾須美、乃木園子、三ノ輪銀の3人の連携不足を懸念した大赦が、3人の訓練を行った合宿先。作中では名前が「讃州サンビーチ」になっていました。				ミトヨシ	ユ	37	13	7	
0979	40		香川県	坂出市	瀬戸大橋記念館公園 マリンドーム	762-0065	香川県坂出市番の州緑町6-13		34.353333	133.826884							結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第7話で、乃木園子が三ノ輪銀の墓参りをしていた場所で、作中では勇者として散っていった少女を祀る英霊之碑と墓がある鎮魂施設となっていました。ステージを取り巻く円柱型のベンチが墓石に描き変えられていました。				サカイデシ	ユ	37	8	7	
0979	41	完了	香川県	観音寺市	観音寺小公園	768-0060	香川県観音寺市観音寺町		34.127268	133.651154	-						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話で、結城友奈が勇者部の紹介文を書くシーンの挿入カットで描かれていた、勇者部が掃除をしていた公園。				カンオンジシ	ユ	37	12	7	
0979	42	完了	香川県	観音寺市	県道49号線（観音寺駅前通り）	768-0060	香川県観音寺市観音寺町		34.126131	133.654953	"https://www.google.co.jp/maps/@34.1260003,133.6549334,3a,15y,161.73h,92.3t/data=!3m6!1e1!3m4!1sOJb-gnCKTzygxHyfeKmWyQ!2e0!7i13312!8i6656"				5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカット1で、座標地点辺りから駅前通り越しに観音寺駅を望む構図で描かれていました。				カンオンジシ	ユ	37	12	7	
0979	43	完了	香川県	観音寺市	大正橋	768-0060	香川県観音寺市観音寺町		34.125097	133.655351	"https://www.google.co.jp/maps/@34.1257101,133.6559762,3a,16.4y,222.98h,87.83t/data=!3m6!1e1!3m4!1sPsxWCkin-MVQdfyvifq1cg!2e0!7i13312!8i6656"				5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカット3で、北東側の川沿いの道から望む橋が描かれていました。				カンオンジシ	ユ	37	12	7	
0979	44	完了	香川県	観音寺市	株式会社ダイブン	768-0060	香川県観音寺市観音寺町甲1234		34.125714	133.654940	"https://www.google.co.jp/maps/@34.1255806,133.6551293,3a,18.4y,327.37h,91.37t/data=!3m6!1e1!3m4!1sGj-sGzbinBpTauB8RlyDFg!2e0!7i13312!8i6656"				4.5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカット2で、学生たちが店を覗く姿が描かれていました。				カンオンジシ	ユ	37	12	7	
0979	45	完了	香川県	観音寺市	三架橋から望む琴弾橋	768-0061	香川県観音寺市八幡町1		34.131960	133.650085	"https://www.google.co.jp/maps/@34.1319451,133.6501202,3a,22.3y,234.76h,94.34t/data=!3m6!1e1!3m4!1sMymUuJrc3ji4dBhj-JS9ww!2e0!7i13312!8i6656"				4		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第1話冒頭の街のカット7で、三架橋の北側袂辺りから望む琴弾橋が描かれていました。				カンオンジシ	ユ	37	12	7	
0979	46	完了	香川県	観音寺市	象ヶ鼻岩／銭形砂絵	768-0062	香川県観音寺市有明町12	琴弾公園内	34.133612	133.645539	"https://www.google.co.jp/maps/@34.1336231,133.6454564,3a,40.2y,296.4h,74.24t/data=!3m8!1e1!3m6!1sAF1QipOJbptpO5iHU8bkOfRJ_xTP4yBbttLmYXDIg8Jh!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOJbptpO5iHU8bkOfRJ_xTP4yBbttLmYXDIg8Jh%3Dw203-h100-k-no-pi-0-ya48.236713-ro-0-fo100!7i2508!8i1254"				3.5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、東郷美森の存在が世界から消されていることに気づき、東郷が居ると思われる壁の外に向かう結城友奈たち勇者部が、ジャンプの足場にしていた場所1。高台の岩で、眼下に銭形砂絵が描かれていました。				カンオンジシ	ユ	37	12	7	
0979	47	完了	香川県	観音寺市	観音寺港南防波堤	768-0065	香川県観音寺市瀬戸町2		34.123417	133.632019	"https://www.google.co.jp/maps/@34.1230992,133.632578,3a,21y,303.59h,89.56t/data=!3m7!1e1!3m5!1sDYNd-31nZyYoKpFJvn9YsQ!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DDYNd-31nZyYoKpFJvn9YsQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D308.14972%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"				4		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第2話で、東郷美森の存在が世界から消されていることに気づき、東郷が居ると思われる壁の外に向かう結城友奈たち勇者部が、ジャンプの足場にしていた場所2。				カンオンジシ	ユ	37	12	7	
