作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0001	0012	完了	東京都	中央区	和光本館	104-0061	東京都中央区銀座4-5-11		35.671529	139.765052	"https://www.google.com/maps/@35.670898,139.7647136,3a,24y,19.48h,111.13t/data=!3m6!1e1!3m4!1sqzriUV3czhqbkenJTaf_hQ!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第14話の冒頭カットで描かれていたビル。ウェンディ・イアハートが出てきたビルは、再現度は低いものの、三越のようです。				チュウオウク	ア	13	16	2		
0001	0014	完了	東京都	中央区	Hot Vision銀座	104-0061	東京都中央区銀座5-7-2	三愛ドリームセンター	35.671181	139.764694	"https://www.google.com/maps/@35.671216,139.7649541,3a,21.7y,261.92h,107.69t/data=!3m6!1e1!3m4!1sVXo4FtnoNnxt-DZAsN-D3Q!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第14話冒頭で、ウェンディ・イアハートが見ていた、香港水没事件で国連の調査団が現地に派遣されたというニュースが映し出されていた巨大モニター。<br />※2014年に撤去済				チュウオウク	ア	13	16	2		
0001	0009	完了	東京都	千代田区	JR 御茶ノ水駅	101-0062	東京都千代田区神田駿河台2-6-1		35.699690	139.764854	"https://www.google.co.jp/maps/@35.6998168,139.7645018,3a,25.4y,93.53h,93.01t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE1QemZyNkJJN29KSUJ1cUpWRmtRZHUzRUZnNkltOUg1d0pRWVUw!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMPzfr6BI7oJIBuqJVFkQdu3EFg6Im9H5wJQYU0%3Dw203-h100-k-no-pi-0-ya115.3313-ro-0-fo100!7i3584!8i1792"	R.O.D -THE TV-	アールオーディーザティービー	オープニングで菫川ねねねが本を読みながら電車待ちをしていた駅。4番ホームやホームから見える聖橋などが描かれていました。				チヨダク	ア	13	17	2		
0001	0021	完了	東京都	墨田区	蔵前橋から見たビル群	111-0051	東京都台東区蔵前2		35.701049	139.793446	"https://www.google.co.jp/maps/@35.7010262,139.7933661,3a,15y,7.28h,94.13t/data=!3m6!1e1!3m4!1sDrrKEUtrHI62HJuSWZJ4Zw!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第4話の菫川ねねねのマンションシーンの冒頭カットで、蔵前橋から北側を望む構図で、東京電力蔵前変電所、マノー蔵前リバーステージなどのビル群や厩橋などが描かれていました。<br />第11話のアニタ・キングが病院へ「支えし骨の書」を届けに行ったシーンから、ねねねのマンションへの場面転換の挿入カットでも同じ構図での夜景が描かれていました。<br />第15話で、香港から帰国したねねねと三姉妹がマンションに帰ってくるシーンでも、第21話で、大英図書館による実験場と化した学校に通うアニタが、ねねねのマンションに帰るシーンでも、同じカットが使われていました。				スミダク	ア	13	13	2		
0001	0026	完了	東京都	台東区	日本染色検査協会 前	111-0051	東京都台東区蔵前2-16		35.703999	139.793654	"https://www.google.co.jp/maps/@35.7038309,139.7935179,3a,37y,39.73h,91t/data=!3m6!1e1!3m4!1sT_7ujWmT_KaOfHXZYt5ONg!2e0!7i13312!8i6656?hl=ja"	R.O.D -THE TV-	アールオーディーザティービー	第6話で、アニタ・キングが、アニタの家に行きたいという菱石久美を連れて、菫川ねねねのマンションに帰るシーンの挿入カットで描かれていた場所。<br />※左手に描かれていた日本染色検査協会の建物は、2010年頃にはすでに撤去されてしまいました。			建物がなくなり、SVでも確認できない。	タイトウク	ア	13	15	2		
0001	0007	完了	東京都	墨田区	隅田川緑道公園	130-0004	東京都墨田区本所1-2		35.698878	139.793112	"https://www.google.co.jp/maps/@35.6988181,139.7932824,3a,15y,311.7h,92.62t/data=!3m7!1e1!3m5!1sto3cxkjhW3ZCYIlUoMeuig!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3Dto3cxkjhW3ZCYIlUoMeuig%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D343.94012%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第2話のラストで、菫川ねねねにマンションを追い出された三姉妹が野宿をしようとしていた公園。マギー・ムイが新聞を布団代わりにして寝ていたベンチも実在します。<br />第24話で、三姉妹の真実を知って自暴自棄となり、一人街を彷徨っていたアニタ・キングがこの公園裏の国技館通りを歩く姿が、公園越しに描かれていました。				スミダク	ア	13	13	2		
0001	0025	完了	東京都	墨田区	隅田川テラス（厩橋付近）	130-0004	東京都墨田区本所1-3		35.703638	139.795436	"https://www.google.co.jp/maps/@35.7034314,139.7953276,2a,37.8y,32.56h,93.84t/data=!3m6!1e1!3m4!1sVfHNCf016UOFkVejtk6jSg!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第22話で、アニタたちと逸れてしまい、2人きりで東京に戻ってきた菫川ねねねとマギー・ムイが、ねねねのマンションの様子を偵察していた場所。				スミダク	ア	13	13	2		
0001	0010	完了	東京都	墨田区	JR 両国駅	130-0015	東京都墨田区横網1-3-20		35.696136	139.792471	"https://www.google.co.jp/maps/@35.6963915,139.7922865,3a,55y,183.38h,97.82t/data=!3m6!1e1!3m4!1sSaBK8xkNO2jt_pgkuAudiQ!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第2話で、菫川ねねねがリー・リンホーに三姉妹をボディーガードの継続契約をしたことについて問いただしていた後の街のカットの一つで描かれていた駅。<br />※JRレンタカーの建物は撤去済です。				スミダク	ア	13	13	2		
0001	0008	完了	東京都	墨田区	国技館通り	130-0015	東京都墨田区横網1-12		35.698764	139.793313	-	R.O.D -THE TV-	アールオーディーザティービー	第24話で、三姉妹の真実を知って自暴自棄となり、一人街を彷徨っていたアニタ・キングが歩いていた場所で、隅田川緑道公園越しに歩く姿が描かれていました。				スミダク	ア	13	13	2		
0001	0013	完了	東京都	墨田区	隅田川テラス（蔵前専用橋-両国橋間）	130-0015	東京都墨田区横網2-1		35.699426	139.793294	"https://www.google.co.jp/maps/@35.6994437,139.7933365,2a,26y,210.97h,90.54t/data=!3m6!1e1!3m4!1sJE44HnKqlwjhF-IOwv9O5A!2e0!7i13312!8i6656?hl=ja"	R.O.D -THE TV-	アールオーディーザティービー	第4話で、登校初日の夕方、アニタ・キングとミシェール ・チャンが、学校の図書館で戦闘になったジュニアについて話をしていた場所。<br />第24話で、三姉妹の真実を知って自暴自棄となり、一人街を彷徨っていたアニタがいたのも同じ場所でした。<br />正面の対岸に都立蔵前工業高校が描かれていました。				スミダク	ア	13	13	2		
0001	0002	完了	東京都	墨田区	蔵前橋袂の階段	130-0015	東京都墨田区横網2-1		35.700538	139.794174	"https://www.google.co.jp/maps/@35.7002763,139.7940585,3a,15y,13.14h,94.97t/data=!3m7!1e1!3m5!1szprPnMFTph4R1ts1AyF_zw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DzprPnMFTph4R1ts1AyF_zw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D19.13757%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第26話のラストで、菱石久美と一緒に読書を楽しんだ後、ねねねのマンションに帰るアニタ・キングが駆け上っていた階段。				スミダク	ア	13	13	2		
0001	0011	完了	東京都	墨田区	蔵前橋	130-0015	東京都墨田区横網2-6		35.700972	139.793400	"https://www.google.co.jp/maps/@35.7009104,139.7936673,3a,21.2y,30.16h,86.22t/data=!3m6!1e1!3m4!1scPIo_E0b-8XRYq9OPXrOig!2e0!7i13312!8i6656?hl=ja"	R.O.D -THE TV-	アールオーディーザティービー	第2話で、リー・リンホーと三姉妹について話した帰りの菫川ねねねが渡っていた橋。同話で、籠絡作戦が失敗し、菫川ねねねにマンションを追い出された三姉妹が抱き合っていたのも、この橋でした。背後に橋中央の欄干にある力士のレリーフが描かれていました。<br />第11話で、リーとの打ち合わせで、5日後に香港に帰国してねねねのボディーガード契約も解除されることを言い渡され、ねねねと三姉妹が沈んだ気持ちで渡っていたのもこの橋でした。<br />第26話のラストで、菱石久美と一緒に読書を楽しんだ後、ねねねのマンションに帰るアニタが渡っていたのもこの橋でした。				スミダク	ア	13	13	2		
0001	0028	完了	東京都	新宿区	新宿スタジオアルタ	161-0032	東京都新宿区新宿3-24-3		35.692556	139.701203	"https://www.google.co.jp/maps/@35.69228,139.7007924,3a,34.7y,49.02h,123.67t/data=!3m6!1e1!3m4!1s7tXHc6vulfNRSmpFrp46RQ!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第23話で、大英図書館が世界各国に巨大なアンテナを建造するシーンで、アルタ上空をヘリコプターが建設資材を運ぶ様子が描かれていました。	https://www.studio-alta.co.jp/			シンジュクク	ア	13	11	2		
0001	0024	完了	東京都	新宿区	東京都庁	163-8001	東京都新宿区西新宿2-8-1		35.689553	139.691808	"https://www.google.co.jp/maps/@35.6904251,139.6906333,3a,43y,139.85h,138.84t/data=!3m6!1e1!3m4!1sjs4oarSNuEr2fK0RPi3zXw!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第16話で、国会図書館での拘束に失敗したジョーカーから、「華氏451作戦」の実行を命令されたウェンディ・イアハートがヘリコプターで移動するシーンの冒頭カットで描かれていたビル。				シンジュクク	ア	13	11	2		
