作品No.	聖地No.	確定	都道府県	市区郡	聖地名	211-0025	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0318	0011	完了	神奈川県	川崎市	住吉書房 元住吉店	211-0025	神奈川県川崎市中原区木月1-22-7	平成第一ビル	35.565337	139.653567	"https://www.google.co.jp/maps/@35.5652338,139.6534015,3a,46y,53.06h,100.28t/data=!3m6!1e1!3m4!1sCON1JSSloMdEsoL8UtuWbw!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第11話で、店長（近藤正己）が九条ちひろの小説が映画化されることを、単行本の帯を見て知った書店。				カワサキシ	コ	14	2	2	
0318	0012	完了	神奈川県	横浜市	東急電鉄 元住吉駅	211-0025	神奈川県川崎市中原区木月1-36		35.564943	139.654115	"https://www.google.co.jp/maps/@35.5650275,139.6541477,3a,60y,193.01h,92.51t/data=!3m6!1e1!3m4!1s9me1u47da3PCTp9b_FaZzA!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第3話の回想シーン冒頭カットで、西口や西口前のブレーメンの音楽隊像が描かれていました。第8～9話で、夏祭りに行くため、橘あきらと喜屋武はるかが待ち合わせをしていたのも、この駅でした。				ヨコハマシ	コ	14	1	2	
0318	0013	完了	神奈川県	横浜市	ブレーメンの音楽隊像	211-0025	神奈川県川崎市中原区木月1-36		35.564989	139.654078	"https://www.google.co.jp/maps/@35.565018,139.6541921,3a,15y,258.83h,91.17t/data=!3m7!1e1!3m5!1spaYgoRrrsG3XJohpNahfbQ!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DpaYgoRrrsG3XJohpNahfbQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D210.52618%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第3話の回想シーンや、第8～9話で、夏祭りに行く橘あきらと喜屋武はるかの待ち合わせシーン、第11話の元住吉駅が出てくるシーンのカットで描かれていた駅前の銅像。				ヨコハマシ	コ	14	1	0	
0318	0014	完了	神奈川県	川崎市	中吉橋 前	211-0025	神奈川県川崎市中原区木月3-44		35.558865	139.650076	"https://www.google.co.jp/maps/@35.5588939,139.6500902,3a,83y,256.27h,84.44t/data=!3m6!1e1!3m4!1slQo41qna5hQxk8PQX6GmFg!2e0!7i13312!8i6656?hl=ja&hl=ja"						恋は雨上がりのように	コイハアメアガリノヨウニ	第5話で、店長（近藤正己）の息子・勇斗と付き添いの橘あきらが、店長の住むアパートに向かう際に通っていた場所。同話で、コンビニで弁当を買っていた店長がアパートへ帰るシーン、店長がコインランドリーに行っている間に天気が急変したカット、傘を持っていない店長を橘あきらと勇斗がコインランドリーに向いに行った帰り道の4カットが描かれていました。ちなみに作中の立地にコインランドリーは存在しません。				カワサキシ	コ	14	2	2	
0318	0052	完了	神奈川県	川崎市	セブン-イレブン 川崎木月3丁目店	211-0025	神奈川県川崎市中原区木月3-44-10		35.559064	139.650021	"https://www.google.co.jp/maps/@35.5589198,139.6500799,3a,15y,2.2h,87.64t/data=!3m6!1e1!3m4!1set-ZihgZaqLpMb_44Hn2dg!2e0!7i13312!8i6656"					044-434-4015	恋は雨上がりのように	コイハアメアガリノヨウニ	第5話で、店長（近藤正己）が、息子の勇斗と付き添いの橘あきらがアパートを訪ねて来ていることを知らずに、弁当を買っていたコンビニ。				カワサキシ	コ	14	2	2	
0318	0015	完了	神奈川県	川崎市	井田橋跡（北側）	211-0034	神奈川県川崎市中原区井田中ノ町17		35.565519	139.639680	"https://www.google.co.jp/maps/@35.565493,139.639631,3a,52y,24.36h,87.1t/data=!3m6!1e1!3m4!1stL-VHBkgbqIUavlPPLTnYQ!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第12話で、本社に行く店長（近藤正己）が店に忘れていったファイルを橘あきらが追いかけて届けていた場所。店長がバスに乗ろうとしていたバス停は実際には存在しません。				カワサキシ	コ	14	2	2	
0318	0016	完了	神奈川県	川崎市	YSP川崎中央本店 前	211-0034	神奈川県川崎市中原区井田中ノ町17-19		35.565428	139.639814	"https://www.google.co.jp/maps/@35.565466,139.639571,3a,38y,76.73h,92.27t/data=!3m6!1e1!3m4!1sIvYeN255qX35WfINYrQweg!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第12話で、新商品の研修（追試）のために本社に行く店長（近藤正己）がバスを待っていた場所。実際にはバス停は存在しません。				カワサキシ	コ	14	2	2	
0318	0017	完了	神奈川県	横浜市	井田消防署前交差点	211-0034	神奈川県川崎市中原区井田中ノ町28		35.563753	139.644412	"https://www.google.co.jp/maps/@35.5638673,139.6437628,3a,15y,98.74h,90.86t/data=!3m6!1e1!3m4!1szl5ZUGH2IFgR-0qWK1AJPg!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第3話で、店長が、怪我している足を気遣って橘あきらを駅まで車で送るシーンで、やんわり諭そうとする店長に対して、店長のことが好きだと言うあきらの剣幕に驚いて車を停めていた交差点。				ヨコハマシ	コ	14	1	2	
0318	0018	完了	神奈川県	川崎市	井田橋跡（南側）	211-0035	神奈川県川崎市中原区井田1-37		35.565351	139.639676	"https://www.google.co.jp/maps/@35.5653865,139.6397177,3a,21y,200.4h,85.91t/data=!3m6!1e1!3m4!1sbutt3ad7g2Er_UdlXZlmLg!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第8話で、ファミレスのバイト帰りに橘あきらが歩いていた橋で、店長（近藤正己）から貰ったメールアドレスのメモを見て、嬉しさのあまり思わずぴょんぴょん跳ねていた場所。				カワサキシ	コ	14	2	2	
0318	0019	完了	神奈川県	川崎市	県道14号線（メディパーク川崎井田前）	211-0035	神奈川県川崎市中原区井田1-36		35.565206	139.640030	"https://www.google.co.jp/maps/@35.5653296,139.6398098,3a,35y,113h,90.79t/data=!3m6!1e1!3m4!1s4XIZum0a6ewdjwz503nrIA!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第3話で、橘あきらから告白された後のシーンで、店長（近藤正己）が車を走らせていた道1。				カワサキシ	コ	14	2	2	
0318	0020	完了	神奈川県	川崎市	県道14号線（川崎市バス井田営業所前）	211-0035	神奈川県川崎市中原区井田1-40		35.565821	139.639089	"https://www.google.co.jp/maps/@35.5657061,139.6393206,3a,42y,269.96h,90.92t/data=!3m6!1e1!3m4!1sMfbQ34hrkIm8sRoxLU6Ahw!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第3話で、橘あきらから告白された後のシーンで、店長（近藤正己）が車を走らせていた道2。				カワサキシ	コ	14	2	2	
0318	0021	完了	神奈川県	川崎市	井田伊勢台公園	211-0035	神奈川県川崎市中原区井田3-15		35.563608	139.637644	-						恋は雨上がりのように	コイハアメアガリノヨウニ	第3話で、車内の張り詰めた空気を変えようと、店長が橘あきらを誘って散歩した公園で、2人が欅の木の下で雨宿りしていたシーンで描かれていた夜景はこの公園からのものです。作中のような欅の木はありません。				カワサキシ	コ	14	2	2	
0318	0022	完了	神奈川県	川崎市	常専寺入口交差点	213-0024	神奈川県川崎市高津区明津		35.566686	139.638234	"https://www.google.co.jp/maps/@35.5667099,139.6382673,3a,15y,304.23h,100.7t/data=!3m6!1e1!3m4!1sNaOoobiJ9oiVUqSGy9NDFw!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第3話で、車に乗った店長（近藤正己）が信号待ちをしていた交差点で、橘あきらから告白された今の心情を小説の一節にして心象風景を思い浮かべていたせいで、信号が青になったことに気づかず、後ろの車にクラクションを鳴らされていました。				カワサキシ	コ	14	2	2	
0318	0023	完了	神奈川県	川崎市	ガスト 新川崎明津店	213-0024	神奈川県川崎市高津区明津236-3		35.567023	139.637660	"https://www.google.co.jp/maps/@35.5669493,139.6380656,3a,35y,279.88h,99.51t/data=!3m6!1e1!3m4!1sE7LWCNcwxYKOnnU1q3Ddxg!2e0!7i13312!8i6656"					044-740-5118	恋は雨上がりのように	コイハアメアガリノヨウニ	物語のメイン舞台である橘あきらが店長（近藤正己）目当てでアルバイトをしているファミリーレストラン「cafeレストラン ガーデン」のモデル。	https://store-info.skylark.co.jp/gusto/spot/detail?code=018634&_resl=true			カワサキシ	コ	14	2	2	
0318	0024	完了	神奈川県	横浜市	横浜駅前のビル群	220-0005	神奈川県横浜市西区南		35.466709	139.620123	"https://www.google.co.jp/maps/@35.4638176,139.6198296,83a,35y,5.7h,78.97t/data=!3m1!1e3"						恋は雨上がりのように	コイハアメアガリノヨウニ	第6話の本屋シーンの冒頭カットで描かれていたビル群。駅の東側から、相鉄ジョイナスの屋上越しに、横浜ベイシェラトンホテル&タワーズや横浜天理ビル、横浜タカシマヤの屋上看板などが描かれていました。				ヨコハマシ	コ	14	1	2	
0318	0025	完了	神奈川県	横浜市	有隣堂 横浜駅西口ジョイナス店	220-0005	神奈川県横浜市西区南幸1-4-B1F		35.466733	139.620837	-					045-311-6265	恋は雨上がりのように	コイハアメアガリノヨウニ	第6話で、喜屋武はるかと弟の翔太が、橘あきらを見かけたものの、西田ユイと一緒にいるところを見て声をかけるのを躊躇っていた本屋。店内の本棚や内装、壁の店舗案内地図などが忠実に描かれていました。あきらは、店長（近藤正己）が純文学好きだと知った影響で、文芸文庫コーナーで太宰治の『走れメロス』を立ち読みしていました。作中では店名が「洋林堂」になっていました。	http://www.yurindo.co.jp/store/yokohama-diamond/			ヨコハマシ	コ	14	1	2	
0318	0026	完了	神奈川県	横浜市	汽車道	220-0012	神奈川県横浜市西区みなとみらい2-1		35.452670	139.633474	"https://www.google.co.jp/maps/@35.4526032,139.6331327,3a,25.4y,75.1h,90.44t/data=!3m6!1e1!3m4!1swyEc1qVqCSPEhOOQguslfw!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第4話で、橘あきらと加瀬亮介のデート、橘あきらと店長のデートシーンで、それぞれ2人で歩いていた場所。				ヨコハマシ	コ	14	1	2	
0318	0053	完了	神奈川県	横浜市	FELICEモミジザカ	220-0031	神奈川県横浜市西区宮崎町		35.451984	139.627997	"https://www.google.com/maps/@35.4521242,139.6279721,3a,60y,182.68h,89.45t/data=!3m6!1e1!3m4!1s8jcl6C3SMLnzg55JKIcz5w!2e0!7i13312!8i6656?hl=ja"						恋は雨上がりのように	コイハアメアガリノヨウニ	橘あきらが住むマンション。作中度々紅葉橋交差点側から見上げた構図で、ビル外観が描かれていました。<br />第2話では、暇潰しにコンビニへ行こうとしていたあきらが、松葉杖をつきながら出てくる姿が描かれていました。ちなみに部屋は502号室です。				ヨコハマシ	コ	14	1	2	
0318	0027	完了	神奈川県	横浜市	横浜市中央図書館	220-0032	神奈川県横浜市西区老松町1		35.447406	139.626445	-					045-262-0050	恋は雨上がりのように	コイハアメアガリノヨウニ	第6話で、橘あきらが店長（近藤正己）と偶然遭遇した図書館。作中では館名が「横浜市みなと図書館」になっていました。	http://www.city.yokohama.lg.jp/kyoiku/library/chiiki/central/			ヨコハマシ	コ	14	1	2	
0318	0028	完了	神奈川県	横浜市	知恵の箱	220-0032	神奈川県横浜市西区老松町1		35.447947	139.626404	"https://www.google.co.jp/maps/@35.4480703,139.6264889,3a,18y,207.39h,104.55t/data=!3m6!1e1!3m4!1smHDyWQ4KDdZ8TtnwHcj0OQ!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第6話で、橘あきらが図書館に行くシーンで描かれていた横浜市中央図書館の敷地内にある彫刻家・望月菊磨による作品。				ヨコハマシ	コ	14	1	2	
0318	0029	完了	神奈川県	横浜市	日吉公園	223-0061	神奈川県横浜市港北区日吉2-31		35.559193	139.647380	-						恋は雨上がりのように	コイハアメアガリノヨウニ	第3話で、車内の張り詰めた空気を変えようと、店長が橘あきらを誘って散歩した公園。2人が雨宿りしていた欅の木じは存在せず、夜景はこの公園のものではありません。				ヨコハマシ	コ	14	1	2	
0318	0030	完了	神奈川県	横浜市	横浜赤レンガ倉庫 前	231-0001	神奈川県横浜市中区新港1-1		35.452163	139.642536	"https://www.google.co.jp/maps/@35.4519556,139.6419998,3a,45y,45.32h,81.24t/data=!3m6!1e1!3m4!1slqZTwA_JX9Y-3UPh7eWCjA!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第10話で、橘あきらが店長（近藤正己）を誘って行った「青空古本市」が開かれていた場所。				ヨコハマシ	コ	14	1	2	
0318	0031	完了	神奈川県	横浜市	イオンシネマ みなとみらい	231-0001	神奈川県横浜市中区新港2-2-1	横浜ワールドポーターズ5F	35.454280	139.638541	-					045-222-2525	恋は雨上がりのように	コイハアメアガリノヨウニ	第4話で、店長への想いを黙っている交換条件でのデートで、橘あきらと加瀬亮介が映画を見ていた映画館。同話のあきらと店長のデートでも同じ映画を見ていました。作中では、店名が「AN NEON CINEMA DX」になっていました。	https://cinema.aeoncinema.com/wm/minatomirai/			ヨコハマシ	コ	14	1	2	
0318	0032	完了	神奈川県	横浜市	桜木町駅前交差点	231-0062	神奈川県横浜市中区桜木町1		35.451077	139.631874	"https://www.google.co.jp/maps/@35.4511018,139.6315973,3a,47.2y,195.93h,88.3t/data=!3m8!1e1!3m6!1sAF1QipMryk_XxrJJUxf3kq59oO-qBWpxeJjGx4AbxbZe!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMryk_XxrJJUxf3kq59oO-qBWpxeJjGx4AbxbZe%3Dw203-h100-k-no-pi0-ya275.42084-ro-0-fo100!7i7776!8i3888"						恋は雨上がりのように	コイハアメアガリノヨウニ	第10話で、橘あきらが店長（近藤正己）を誘って行った「青空古本市」の帰りに、あきらが駅に向かう店長を見送っていた交差点。				ヨコハマシ	コ	14	1	2	
0318	0033	完了	神奈川県	横浜市	JR 桜木町駅	231-0062	神奈川県横浜市中区桜木町1-1		35.450821	139.631418	"https://www.google.co.jp/maps/@35.4510859,139.631983,3a,15y,241.71h,90.48t/data=!3m6!1e1!3m4!1s7DyixZ7VJiaSK0ky3HODDA!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第4話で、店長への想いを知られてしまった加瀬亮介と、そのことを黙っている交換条件でデートすることになった橘あきらが待ち合わせをしていた駅。同話で、今度は店長とのデートであきらが待ち合わせをしていたのもこの駅でした。<br />第10話で、橘あきらが店長（近藤正己）を誘って行った「青空古本市」の帰りに、あきらに見送られながら店長が向かっていったのもこの駅でした。				ヨコハマシ	コ	14	1	2	
0318	0034	完了	神奈川県	横浜市	コレットマーレ	231-0062	神奈川県横浜市中区桜木町1-1-7		35.452381	139.630973	-						恋は雨上がりのように	コイハアメアガリノヨウニ	第2話で、怪我をさせてしまったお詫びに橘家に向かう途中だった店長（近藤正己）と遭遇した橘あきらがお茶していたファミレスのあるビル。あきらが店長に告白するも、真意が伝わらず、肩透かしに合っていました。上階の店舗で、ヨコハマ グランド インターコンチネンタル ホテルやよこはまコスモワールドの大観覧車などが眺望できる窓際の席に座っていましたが、実際にはビル内にファミレスはありません。				ヨコハマシ	コ	14	1	2	
0318	0035	完了	神奈川県	横浜市	クロスゲート 屋上庭園から望む横浜の街	231-0062	神奈川県横浜市中区桜木町1-101−1	クロスゲート3F	35.451126	139.632625	-					045-683-3151	恋は雨上がりのように	コイハアメアガリノヨウニ	橘あきらと加瀬亮介とのデート、あきらと店長（近藤正己）とのデートの冒頭カットで描かれていた景色。加瀬のカットでは曇、店長のカットでは快晴と描き分けられています。屋上庭園から北東側を望む構図で、クイーンズタワーやヨコハマ グランド インターコンチネンタルホテル、よこはまコスモワールドの大観覧車、ノートルダム横浜 みなとみらいなどの建物が描かれていました。				ヨコハマシ	コ	14	1	2	
0318	0036	完了	神奈川県	横浜市	紅葉橋交差点	231-0063	神奈川県横浜市中区花咲町3		35.452208	139.628569	"https://www.google.co.jp/maps/@35.4522331,139.628469,3a,50.3y,60.35h,91.91t/data=!3m6!1e1!3m4!1sShwIGIH-RebhKybyi7G45g!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第2話で、暇潰しにコンビニへ行こうとしていた橘あきらが、松葉杖をつきながら歩いていた交差点。				ヨコハマシ	コ	14	1	2	
0318	0037	完了	神奈川県	横浜市	紅葉橋	231-0063	神奈川県横浜市中区花咲町3		35.452274	139.628752	"https://www.google.co.jp/maps/@35.4524632,139.629094,3a,15y,236.57h,94.53t/data=!3m6!1e1!3m4!1suljfLSjW2dnSWGqB-BdljA!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第2話で、暇潰しにコンビニへ行こうとしていた橘あきらが、怪我をさせてしまったお詫びに橘家に向かう途中だった店長（近藤正己）と遭遇していた橋。				ヨコハマシ	コ	14	1	2	
0318	0038	完了	神奈川県	横浜市	コスモス	231-0064	神奈川県横浜市中区野毛町3		35.448228	139.627882	"https://www.google.co.jp/maps/@35.4481529,139.6278891,3a,56y,13.97h,103.8t/data=!3m6!1e1!3m4!1swGl71GyZY_7FWFsuS9gmNQ!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第6話で、図書館に向かう橘あきらが歩いていた場所で、帰りには、あきらと店長（近藤正己）が一緒に歩いていました。				ヨコハマシ	コ	14	1	2	
0318	0039	完了	神奈川県	横浜市	野毛坂交差点	231-0064	神奈川県横浜市中区野毛町4		35.448190	139.627002	"https://www.google.co.jp/maps/@35.4481564,139.6270301,3a,43y,221.63h,98.45t/data=!3m6!1e1!3m4!1sovVkXS2_0SGTMPk92thi9w!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第6話で、橘あきらが図書館に向かうシーンで描かれていた交差点。交差点から西側を望む構図で、図書館へと続く坂道や階段、図書館の建物の一部が描かれていました。				ヨコハマシ	コ	14	1	2	
0318	0040	完了	神奈川県	横浜市	サンハイツ野毛坂（旧・大金商店）	231-0064	神奈川県横浜市中区野毛町4-161		35.448286	139.627144	"https://www.google.co.jp/maps/@35.4481867,139.6271738,3a,27y,337.43h,87.62t/data=!3m6!1e1!3m4!1s3dMc1ZuIQkmzkWQwfL3bqQ!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第6話で、図書館に向かう途中の橘あきらが、店の軒先雨宿りしていおじさんに声をかけていた（図書館の場所を聞いていた様子）場所。一つ前のカットで描かれている街灯もこの建物前にある街灯でした。				ヨコハマシ	コ	14	1	2	
0318	0041	完了	神奈川県	横浜市	氷取沢高校バス停	235-0043	神奈川県横浜市磯子区氷取沢町		35.363188	139.610882	"https://www.google.co.jp/maps/@35.3632345,139.6108074,3a,47y,121.01h,88.91t/data=!3m7!1e1!3m5!1sU_CpYuTZN8Hy4Bk4pd8IBA!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DU_CpYuTZN8Hy4Bk4pd8IBA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D171.30612%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第6話で、夏休みに補修を受けに来た橘あきらが、時刻表を見て次のバスまでの時間がかなりあることで、諦めて駅に向かうことにしたバス停。同話で別日の補修帰りにバスを待っているあきらに、あきらが欲しがっていたマスコットとメッセージの入ったガチャのカプセルを喜屋武はるかが投げ渡していたのも、さらに、同話で、はるかが陸上部の仲間たちと一緒にバス待ちをしていたのも、このバス停でした。				ヨコハマシ	コ	14	1	2	
0318	0042	完了	神奈川県	横浜市	氷取沢高等学校	235-0043	神奈川県横浜市磯子区氷取沢町938-2		35.363571	139.611824	"https://www.google.co.jp/maps/@35.362768,139.6110951,3a,26y,42.76h,91.62t/data=!3m6!1e1!3m4!1sPZgoietJSylxjvMpiVoHww!2e0!7i13312!8i6656"					045-772-0606	恋は雨上がりのように	コイハアメアガリノヨウニ	橘あきらが通う「風見沢高校」のモデル。	http://www.hitorizawa-h.pen-kanagawa.ed.jp			ヨコハマシ	コ	14	1	2	
0318	0043	完了	神奈川県	横浜市	小山酒店	236-0052	神奈川県横浜市金沢区富岡西4-2-7		35.365467	139.621638	"https://www.google.co.jp/maps/@35.3653887,139.6216686,3a,58y,324.82h,87.08t/data=!3m6!1e1!3m4!1sIREyVKvKDA6xaX9KuWsnmA!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第6話で、真夏（8月1日）の炎天下の中、、バスに乗り遅れて駅まで歩くことにした橘あきらが、あまりの暑さにへたりながら駅へ向かうシーンで、この店の前を通っていました。				ヨコハマシ	コ	14	1	2	
