No.	確定	都道府県	市区郡	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	電話番号	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
40		東京都	千代田区	ポケモンストア 東京駅店	100-0005	東京都千代田区丸の内1-9-1	東京駅一番街 B1F 東京キャラクターストリート内	35.682471	139.768809				ポケモンセンター	ポケモンセンター		https://www.pokemon.co.jp/shop/store/tokyo/			チヨダク	ホ	27	13	17	2
41	完了	東京都	千代田区	アニメイト秋葉原別館	101-0021	東京都千代田区外神田1-2-13		35.698010	139.770715			03-3526-3977	アニメイト	アニメイト	アニメミュージカル、舞台作品などの「2.5次元」アイテムの他、コミック、同人誌、キャラクターグッズ、画材、CD、DVD・Blu-ray、ゲーム、オンリーショップやイベントスペースも併設された複合施設	https://www.animate.co.jp/shop/akibags/			チヨダク	ア	12	13	17	2
42	完了	東京都	千代田区	うりぼうざっか秋葉原本店	101-0021	東京都千代田区外神田1-3-7	鈴木ビル4F	35.701064	139.771252				メロンブックス	メロンブックス	メロンブックスが展開するオリジナルのグッズブランドショップ。<br />※2017年08月11日オープン<br />※第26東ビルB1F（外神田3-14-9）から、2019年12月7日に移転リニューアルオープン	https://www.melonbooks.co.jp/shop/			チヨダク	メ	20	13	17	2
43	完了	東京都	千代田区	らしんばん秋葉原店新館	101-0021	東京都千代田区外神田1-7-6	AKIBAカルチャーズZONE 1～2F	35.699529	139.770378			03-5298-2100	らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店	https://www.lashinbang.com/store/akihabara_2/			チヨダク	ラ	19	13	17	2
44	完了	東京都	千代田区	グッドスマイル×アニメイトカフェ秋葉原	101-0021	東京都千代田区外神田1-7-6	AKIBAカルチャーズZONE 5F	35.699529	139.770378			03-3526-3761	アニメイトカフェ	アニメイトカフェ	2014年4月25日にオープンしたホビーメーカーのグッドスマイルカンパニーとアニメイトのコラボカフェの第1号店	https://cafe.animate.co.jp/shop/akihabara/			チヨダク	ア	13	13	17	2
45	完了	東京都	千代田区	ACOS秋葉原	101-0021	東京都千代田区外神田1-7-6	AKIBAカルチャーズZONE 5F	38.258620	140.879778			03-3526-3871	アニメイト	アニメイト	2014年4月25日にリニューアルオープンしたアニメイトグループの株式会社アコスが展開するコスプレショップ	https://www.acos.me/blog/store/akihabara/			チヨダク	ア	12	13	17	2
46	完了	東京都	千代田区	アニメガ×ソフマップAKIBA アミューズメント館	101-0021	東京都千代田区外神田1-10-8	平岡ビル 6F	35.698907	139.771009			0077-78-9888	アニメガ	アニメガ	文教堂書店のアニメ関連商品の販売に特化した店舗としてスタートした「アニメガ」が、ソフマップに事業譲渡され、2019年11月1日に「アニメガ×ソフマップ」として新たにオープンした店舗	https://www.sofmap.com/tenpo/contents/?id=shops&sid=animega_akiba04			チヨダク	ア	22	13	17	2
47	完了	東京都	千代田区	メロンブックス秋葉原1号店	101-0021	東京都千代田区外神田1-10-5	広瀬本社ビル B1F	35.699031	139.771017			03-5295-7060	メロンブックス	メロンブックス	アニメ・コミック・ゲーム系同人誌と音楽CD、関連キャラクターグッズ専門店舗	https://www.melonbooks.co.jp/shop/shop.php?wp_id=4			チヨダク	メ	20	13	17	2
48	完了	東京都	千代田区	あみあみ秋葉原店2nd	101-0021	東京都千代田区外神田1-11-5	スーパービル 3～4F	35.699491	139.770893			03-5289-3373	その他	ソノタ	ホビー・グッズのネット通信販売店「あみあみ」の実店舗	http://www.amiami.jp/top/page/t/store.html			チヨダク	ソ	29	13	17	2
49	完了	東京都	千代田区	AKIHABARAゲーマーズ本店	101-0021	東京都千代田区外神田1-14-7	宝田ビル	35.698321	139.771642			03-5298-8720	ゲーマーズ	ゲーマーズ	キャラクターグッズを中心としたアニメ・コミック・ゲーム関連グッズ専門店	https://www.gamers.co.jp/shop/2434/			チヨダク	ケ	16	13	17	2
50	完了	東京都	千代田区	ボークス秋葉原ホビー天国	101-0021	東京都千代田区外神田1-15-4		35.698021	139.771536			03-5295-8160	ボークス	ボークス	模型・フィギュアメーカーのボークスが、ホビー最新情報発信基地として展開するホビー専門店<br />地下1階から7階まで全8フロアがホビー専門店となっている秋葉原最大のホビービル<br />※2014年11月22日オープン	http://www.volks.co.jp/jp/shop/akiba_sr/			チヨダク	ホ	24	13	17	2
51	完了	東京都	千代田区	駿河屋秋葉原駅前店	101-0021	東京都千代田区外神田1-15-15	山本無線ビル B1～3F	35.697717	139.772190			03-3254-7385	駿河屋	スルガヤ	ゲーム・古本・DVD・CD・トレカ・フィギュア 通販ショップ「駿河屋」の実店舗	http://www.a-too.co.jp/shopsearch/駿河屋秋葉原駅前店/			チヨダク	ス	23	13	17	2
52	完了	東京都	千代田区	K-BOOKS 秋葉原MEN'S館	101-0021	東京都千代田区外神田1-15-16	秋葉原ラジオ会館 3F	35.697874	139.771935			03-5295-1517	K-BOOKS	ケイブックス	マンガ・ライトノベル・中古同人誌・アニメグッズ専門店「K-BOOKS」の男性向け商品に特化した紳士御用達の店舗	http://www.k-books.co.jp/company/shop/akiba-mens.html			チヨダク	ケ	17	13	17	2
53	完了	東京都	千代田区	K-BOOKS 秋葉原本館	101-0021	東京都千代田区外神田1-15-16	秋葉原ラジオ会館 4F	35.697874	139.771935			03-3255-4866	K-BOOKS	ケイブックス	マンガ・ライトノベル・中古同人誌・アニメグッズ専門店	http://www.k-books.co.jp/company/shop/akiba.html			チヨダク	ケ	17	13	17	2
54	完了	東京都	千代田区	あみあみ秋葉原ラジオ会館店	101-0021	東京都千代田区外神田1-15-16	秋葉原ラジオ会館 4F	35.697874	139.771935			03-6260-9100	その他	ソノタ	ホビー・グッズのネット通信販売店「あみあみ」の実店舗<br />※2016年4月オープン	http://www.amiami.jp/top/page/t/store.html			チヨダク	ソ	29	13	17	2
55		東京都	千代田区	ジャングル秋葉原2号店	101-0021	東京都千代田区外神田1-15-16	秋葉原ラジオ会館 7F	35.697943	139.771947			03-3526-2581	ジャングル	ジャングル		https://jungle-scs.co.jp/?page_id=65			チヨダク	シ	26	13	17	2
56	完了	東京都	千代田区	ボークス ホビースクエア秋葉原	101-0021	東京都千代田区外神田1-15-16	秋葉原ラジオ会館 8F	35.697874	139.771935			03-5256-1990	ボークス	ボークス	模型・フィギュアメーカーのボークスが、ホビー最新情報発信基地として展開するホビー専門店	https://hobby.volks.co.jp/shop/hs_akihabara.html			チヨダク	ホ	24	13	17	2
57	完了	東京都	千代田区	COMIC ZIN 秋葉原店	101-0021	東京都千代田区外神田1-11-7	高和秋葉原ビル 1～2F	35.699467	139.771094			03-5298-5392	その他	ソノタ	同人ショップとらのあなから独立したスタッフが創業した漫画、同人誌を扱う書店<br />※2009年2月18日オープン<br />2010年8月10日に、小暮ビル4F（東京都千代田区外神田1-11-6）から現在地に移転	http://www.comiczin.jp/shop/			チヨダク	ソ	29	13	17	2
58	完了	東京都	千代田区	アニON STATION AKIHABARA本店	101-0021	東京都千代田区外神田3-1-16	ダイドーリミテッドビル 1F	35.699959	139.769663			050-5835-2263	その他	ソノタ	バンダイナムコアミューズメントが展開する、アニメやアーティストの音楽と映像に囲まれた空間でコラボ料理が楽しめる次世代キャラクターカフェ<br />アニメ作品とのコラボプログラムや、特定のレーベルに特化した期間限定のコラボカフェ、ランティスによるショールームや、バンプレストの企画によるオリジナル限定コラボ商品の販売コーナーなどがあります。<br />※2016年7月オープン	https://bandainamco-am.co.jp/cafe_and_bar/anionstation/stations/akihabara-flagship.html			チヨダク	ソ	29	13	17	2
59		東京都	千代田区	ジャングル秋葉原1号店	101-0021	東京都千代田区外神田3-9-2	末広ビル 1F	35.701642	139.770633			03-5577-5270	ジャングル	ジャングル		https://jungle-scs.co.jp/?page_id=60			チヨダク	シ	26	13	17	2
60	完了	東京都	千代田区	駿河屋秋葉原ゲーム館	101-0021	東京都千代田区外神田3-9-8	東洋ビル1F	35.701623	139.770861			03-3256-7277	駿河屋	スルガヤ	通販ショップ「駿河屋」の実店舗<br />ゲーム専門店	http://www.a-too.co.jp/shopsearch/駿河屋ゲーム館/			チヨダク	ス	23	13	17	2
61		東京都	千代田区	ジャングル秋葉原3号店	101-0021	東京都千代田区外神田3-9-10	日宝ビル	35.701515	139.770602				ジャングル	ジャングル	<br />※2020年7月23日オープン				チヨダク	シ	26	13	17	2
62		東京都	千代田区	ジャングル空想的機械館メカストア秋葉原	101-0021	東京都千代田区外神田3-9-10	日宝アキバ館 1F	35.701515	139.770602			03-3525-8868	ジャングル	ジャングル	超合金やガンプラ、ロボットフィギュアなどを取り扱う「メカ」をメインコンセプトにしたロボ・メカ好きのための店。	https://jungle-scs.co.jp/?page_id=1130			チヨダク	シ	26	13	17	2
63	完了	東京都	千代田区	駿河屋秋葉原本館	101-0021	東京都千代田区外神田3-11-3	ミナミビル	35.700632	139.770519				駿河屋	スルガヤ	8階建てのビル一棟丸ごとフィギュアとアニメ雑貨を取り扱う通販ショップ「駿河屋」の実店舗<br />※2019年2月9日オープン	https://www.a-too.co.jp/shopsearch/%e9%a7%bf%e6%b2%b3%e5%b1%8b%e7%a7%8b%e8%91%89%e5%8e%9f%e6%9c%ac%e9%a4%a8/			チヨダク	ス	23	13	17	2
64	完了	東京都	千代田区	まんだらけ コンプレックス	101-0021	東京都千代田区外神田3-11-12		35.700379	139.770515			03-3252-7007	まんだらけ	マンダラケ	マンガ専門の古書店	http://www.mandarake.co.jp/shop/index_cmp.html			チヨダク	マ	21	13	17	2
65	完了	東京都	千代田区	とらのあな秋葉原店C	101-0021	東京都千代田区外神田3-13-8	東京角田ビル 3F	35.700538	139.771182				とらのあな	トラノアナ	同人誌及びアニメ・コミック・ゲーム関連グッズ専門店	http://www.toranoana.jp/shop/akihabara/		2021年4月6日閉店	チヨダク	ト	14	13	17	2
66	完了	東京都	千代田区	駿河屋秋葉原トレカ・ボードゲーム館	101-0021	東京都千代田区外神田3-15-4	ル・プラトー協和 1～2F	35.701811	139.771105			03-3258-7096	駿河屋	スルガヤ	通販ショップ「駿河屋」の実店舗<br />トレカ、トレカサプライ、ボードゲーム、キャラクター雑貨、アウトレット（雑貨、フィギュア）などを取り扱う専門店<br />※2017年8月19日オープン	http://www.a-too.co.jp/shopsearch/駿河屋秋葉原トレカ・ボードゲ館/			チヨダク	ス	23	13	17	2
67	完了	東京都	千代田区	ジーストア・アキバ	101-0021	東京都千代田区外神田3-15-5		35.701843	139.771218			03-3526-6877	ジーストア	ジーストア	キャラクターグッズ専門店<br />コスパ商品正規取扱店舗	http://www.geestore.com/geenet/geestore/akiba			チヨダク	シ	18	13	17	2
68	完了	東京都	千代田区	秋葉原ガチャポン会館	101-0021	東京都千代田区外神田3-15-5	ジーストア・アキバ 1F	35.701843	139.771218			03-5209-6020	その他	ソノタ	ガチャガチャ専門店	http://www.akibagacha.com/			チヨダク	ソ	29	13	17	2
69	完了	東京都	千代田区	コスパ ジーストア・アキバ店	101-0021	東京都千代田区外神田1-2-7	オノデン本店4F ジーストア・アキバ	35.701843	139.771218			03-3526-6877	COSPA	コスパ	キャラクターアパレル・雑貨専門店	http://www.cospa.com/special/shoplist/list/akiba.html			チヨダク	コ	15	13	17	2
70	完了	東京都	千代田区	とらのあな秋葉原店A	101-0021	東京都千代田区外神田4-3-1		35.70049	139.771725			03-5294-0123	とらのあな	トラノアナ	同人誌及びアニメ・コミック・ゲーム関連グッズ専門店	http://www.toranoana.jp/shop/akihabara/			チヨダク	ト	14	13	17	2
71	完了	東京都	千代田区	とらのあな秋葉原店B	101-0021	東京都千代田区外神田4-3-1		35.70049	139.771725			03-3526-5551	とらのあな	トラノアナ	同人誌及びアニメ・コミック・ゲーム関連グッズ専門店	http://www.toranoana.jp/shop/akihabara/		2021年4月6日閉店	チヨダク	ト	14	13	17	2
72	完了	東京都	千代田区	アニメイト秋葉原本館	101-0021	東京都千代田区外神田4-3-2		35.700486	139.771776			03-5209-3330	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店<br />※1997年12月20日神田川沿いにオープンし、2001年に現地に移転。	http://www.animate.co.jp/shop/shop_east/akihabara/			チヨダク	ア	12	13	17	2
73	完了	東京都	千代田区	TAMASHII NATIONS TOKYO	101-0021	東京都千代田区外神田4-4-2	HULIC &New AKIHABARA B1～2F	35.701136	139.771787				その他	ソノタ	バンダイスピリッツの大人向け玩具（フィギュアなど）ブランド「魂ネイションズ」の初の直営店<br />※2019年4月27日オープン	https://tamashii.jp/tokyo/			チヨダク	ソ	29	13	17	2
74	完了	東京都	千代田区	駿河屋秋葉原プラモデル館	101-0021	東京都千代田区外神田4-4-2	共益外神田第1ビル2～3F	35.701217	139.771844			03-3255-0166	駿河屋	スルガヤ	通販ショップ「駿河屋」の実店舗<br />プラモデル全般、塗料、工具、プラモ雑誌、トレーディングフィギュア、食玩などを取り扱う専門店<br />※2018年3月3日オープン	http://www.a-too.co.jp/shopsearch/駿河屋秋葉原プラモデル館/			チヨダク	ス	23	13	17	2
75	完了	東京都	千代田区	駿河屋秋葉原アニメ・ホビー館	101-0021	東京都千代田区外神田4-5-1	KHKビル1～4F	35.701538	139.771849			03-3255-2115	駿河屋	スルガヤ	通販ショップ「駿河屋」の実店舗<br />取り扱い商品は、キャラクターグッズ、フィギュア、 トレーディングフィギュア・食玩、おもちゃ、ぬいぐるみなど	http://www.a-too.co.jp/shopsearch/駿河屋アニメ・ホビー館/			チヨダク	ス	23	13	17	2
76	完了	東京都	千代田区	Animegane（アニメガネ）	101-0021	東京都千代田区外神田4-8-3	セゾン秋葉原ビル1F	35.702592	139.772528			03-6260-9195	その他	ソノタ	池袋に店舗を構え、執事が接客・測定・加工の全てを行う眼鏡店「執事眼鏡eyemirror」が、2017年7月15日に秋葉原でオープンしたアニメコラボ眼鏡の専門店	https://animegane.jp/			チヨダク	ソ	29	13	17	2
