No.	確定	都道府県	市区郡（統計用）	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	電話番号	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
18	完了	東京都	港区	ポリゴン・ピクチュアズ	106-0047	東京都港区南麻布3-20-1	Daiwa麻布テラス1F	35.647657	139.731175				アニメ制作会社	ホリコンヒクチュアス	1983年7月22日、CGアーティストの河原敏文により設立された3DCGを中心とするアニメ制作会社。<br />当初は企画型CG制作プロダクションとして、多くのCG作品を手掛け、1997年3月12日にソニー・コンピュータエンタテインメントとナムコからの出資を得て3DCG制作の合弁会社ドリーム・ピクチュアズ・スタジオを設立し、総制作費80億円のフルCG映画の企画に取り組むも、未完成のまま解散。その後は業務を縮小。<br />2003年6月に塩田周三が代表取締役社長に就任すると、海外のテレビシリーズ受注などで再び規模を拡大。押井守監督『イノセンス』の3DCGパートなども担当した。<br />2012年、マレーシアのアニメスタジオ・SILVER ANTと合弁会社SILVER ANT PPI SDN.BHD.を設立し、分業体制を拡充。<br />2012年にフルCGテレビアニメ『超ロボット生命体 トランスフォーマー プライム』、2013年にフルCGテレビアニメ『トロン：ライジング』『スター・ウォーズ：クローン・ウォーズ』などを手掛け、2014年には、設立30周年記念作品として『シドニアの騎士』を制作し、以降、国内アニメに本格的に参入。	http://www.ppi.co.jp/			ミナトク	ホ	1	13	22	2
19	完了	東京都	港区	プロセンスタジオ	107-0051	東京都港区元赤坂1-4-2	知性ビル	35.676995	139.732685	"https://www.google.co.jp/maps/@35.6770407,139.7328319,3a,90y,245.53h,127.31t/data=!3m4!1e1!3m2!1sZ8hn2wRRRAt5Y0Snx_ytbQ!2e0"		03-3404-4880	アフレコスタジオ	フロセンスタシオ	アフレコスタジオ。	https://www.procenstudio.com/			ミナトク	フ	3	13	22	2
20	完了	東京都	港区	大沢事務所	107-0052	東京都港区赤坂4-2-13	トワールビル赤坂	35.674959	139.735343			03-5571-0038	声優事務所	オオサワシムショ	東京俳優生活協同組合のマネージャーだった大澤和男が1984年4月に独立して設立した声優事務所。<br />堅実さで知られる事務所で、事務所の公式サイトすら2005年頃までは存在せず、所属声優もSNSなどで情報を露出することが少ない（近年はやや緩和されつつあるようだが、当初は若手声優のほとんどがSNSアカウントを持っておらず、大沢事務所への移籍を機にSNSをやめるケースも珍しくなかった）。<br />ナレーションに強いことや、子役や舞台俳優などの演技経験者が多いことが特徴で、2000年代初期には、川澄綾子、能登麻美子、花澤香菜といった女性声優が同時期のアニメの主役を席巻する様子が目立ち、若手の女性声優の売り込み能力が高いと評されていた。<br />養成所運営はしておらず、オーディションなどで選抜した研究生を対象とする、無料の研修制度で声優を育成している。				ミナトク	オ	2	13	22	2
21	完了	東京都	港区	オフィスPAC	107-0052	東京都港区赤坂7-2-3	赤坂ジートルンク400	35.673821	139.730729				声優事務所	オフィスハック	声優・演出家の野沢那智が設立した声優養成所パフォーミング・アート・センターのマネージメント部門として2003年4月に設立した声優事務所。<br />2012年に東北新社の連結子会社となったことを機に、パフォーミング・アート・センターとは別資本の会社となり、養成所側は2017年2月に破産したため、声優事務所のみが残ることになった。	http://www.office-pac.jp/			ミナトク	オ	2	13	22	2
22	完了	東京都	港区	シグマ・セブン	107-0052	東京都港区赤坂7-10-17	フォンテ赤坂ビル3F	35.669716	139.732023			03-3589-3027	声優事務所	シクマセフン	槇大輔、窪田等ら東京俳優生活協同組合所属の声優が独立して1988年3月3日に設立した声優事務所。				ミナトク	シ	2	13	22	2
23	完了	東京都	港区	スペースクラフト	107-0062	東京都港区南青山3-1-31	NBF南青山ビル6F	35.668057	139.715964			03-3796-8699	声優事務所	スヘエスクラフト	モデルや俳優、タレント、声優などが所属する芸能事務所。	http://www.spacecraft.co.jp/			ミナトク	ス	2	13	22	2
24	完了	東京都	港区	青二プロダクション	107-8572	東京都港区北青山3-1-2	青山セント・シオンビル5F	35.669291	139.715005	"https://www.google.co.jp/maps/@35.6694355,139.7153893,3a,79y,259.19h,121.18t/data=!3m6!1e1!3m4!1scKhfPIncpE0Ir0LSUT7sGQ!2e0!7i16384!8i8192"		03-3479-1791	声優事務所	アオニフロタクション	東京俳優生活協同組合のマネージャーだった久保進氏が、1969年4月1日に日本初の声優専門の芸能事務所として設立。<br />社名の由来は本社所在地の「南青山二丁目」から来ているという説が有力。<br />南青山二丁目内で何度かビルを転居しているものの、創立50周年を迎える2019年の4月1日には北青山三丁目に移転してしまいました。	http://www.aoni.co.jp/			ミナトク	ア	2	13	22	2
25	完了	東京都	港区	アオイスタジオ	106-0045	東京都港区麻布十番1-1-14		35.657222	139.735974			03-3582-3811	アフレコスタジオ	アオイスタシオ	アフレコスタジオ。	http://www.aoistudio.co.jp/			ミナトク	ア	3	13	22	2
26	完了	東京都	港区	EARLY WING	107-0051	東京都港区元赤坂1-7-10	元赤坂ビル8F	35.677977	139.732541			03-6277-8900	声優事務所	アアリイウインク	2009年11月設立の声優事務所。<br />EARLY WINGグループ会社には、グループ統括のEARLY WING infinityを筆頭に、EARLY WING、Ability Soul Pro（2012年8月設立）、WITH LINE（2014年5月設立）、PUGNUS（2017年10月設立）の4つのプロダクションの他、音響制作のE∞CREATE Sound Studio、ヘアサロンのailes、養成所のWAHO學院、録音スタジオのSTUDIO effort、studio ENDEAVORがあり、幅広い事業を展開している。	http://www.earlywing.com/			ミナトク	ア	2	13	22	2
27	完了	東京都	港区	オムニバス・ジャパン 三分坂スタジオ	107-0052	東京都港区赤坂7-6-40		35.670203	139.732018	"https://www.google.co.jp/maps/@35.670027,139.7321372,3a,90y,326.83h,94.13t/data=!3m4!1e1!3m2!1ssuPcEddVBx-3sbA8iaqvZQ!2e0?hl=ja"		03-5561-5011	アフレコスタジオ	オムニハスシャハンサンフンサカスタシオ	オムニバスジャパンのアフレコスタジオ	http://www.omnibusjp.com/			ミナトク	オ	3	13	22	2
28	完了	東京都	台東区	バンダイ 	111-8081	東京都台東区駒形1-4-8		35.707288	139.794626	"https://www.google.co.jp/maps/@35.707654,139.795377,3a,75y,241.78h,108.69t/data=!3m4!1e1!3m2!1sqiBTuk0coI2Ca8rdpmHYVQ!2e0?hl=ja"		03-3847-5011	関連企業	ハンタイ	バンダイナムコグループの玩具・模型・アパレル・生活用品等を手がけるメーカー。	http://www.bandai.co.jp/			タイトウク	ハ	7	13	15	2
29	完了	東京都	文京区	芳文社	112-0004	東京都文京区後楽1-2-12		35.702755	139.751573			03-3815-1521	出版社	ホウフンシャ	「まんがタイム」「まんがタイムきらら」などのマンガ雑誌を出版する出版社。<br />1946年に孝壽芳春が実業家の上法快男と共に創設した尚文館を前身に、1950年7月10日に尚文館を継承するかたちで 芳春が新たに設立。<br />キャッチコピーは「漫画の殿堂」。	http://houbunsha.co.jp			ブンキョウク	ホ	6	13	21	2
30	完了	東京都	文京区	キングレコード	112-0013	東京都文京区音羽1-2-3		35.711681	139.731476	"https://www.google.co.jp/maps/@35.711733,139.731143,3a,80.3y,107h,110.11t/data=!3m4!1e1!3m2!1s9WaApFxF7rsNdpeTncKDrw!2e0?hl=ja"		03-3945-2131	音楽会社	キンクレコオト	音楽会社。	http://www.kingrecords.co.jp/			ブンキョウク	キ	5	13	21	2
31	完了	東京都	文京区	講談社	112-8001	東京都文京区音羽 2-12-21		35.718514	139.727332	"https://www.google.co.jp/maps/@35.717659,139.728192,3a,90y,257.73h,102.24t/data=!3m4!1e1!3m2!1sDCFsNkrGHLGc3FV2F3bbMA!2e0?hl=ja"		.03-3945-1111	出版社	コウタンシャ	「少年マガジン」「モーニング」「月刊アフタヌーン」などを出版している大手出版社。<br />1909年11月に、野間清治により設立された弁論雑誌を出版する大日本雄辯會を前身とし、1911年 に創業。	http://www.kodansha.co.jp/			ブンキョウク	コ	6	13	21	2
32	完了	東京都	品川区	マーベラス	140-0002	東京都品川区東品川4-12-8	品川シーサイドイーストタワー5F	35.60924	139.748854			03-5769-7447	関連企業	マアヘラス	アニメ・ゲーム作品のCD・DVD中心の発売会社。	http://www.maql.co.jp/			シナガワク	マ	7	13	9	2
33	完了	東京都	品川区	徳間書店	141-8202	東京都品川区上大崎3-1-1	目黒セントラルスクエア	35.633438	139.716819	"https://www.google.co.jp/maps/@35.6569533,139.7532796,3a,90y,161.48h,116.9t/data=!3m4!1e1!3m2!1sGbGYA7jjtvsWvUo27wDk5w!2e0?hl=ja"		03-5403-4300	出版社	トクマショテン	「アニメージュ」「ハイパーホビー」などを出版している大手出版社。<br />読売新聞社出身の竹井博友が、1946年にアサヒ芸能新聞社を創設して「アサヒ芸能新聞」を発行していたが、1953年に創刊した一般紙「日東新聞」の不振で業績が悪化。竹井は、読売新聞時代の友人で日東新聞副社長となっていた徳間康快に残務処理を任せて退任するも、徳間は会社をたたまずに再建に乗り出し、存続会社を「徳間書店」に改称。<br />音楽業界や映画業界、新聞業界にも参入し、1978年にはアニメブームに乗じて「アニメージュ」を発刊し、このアニメ雑誌が後の徳間書出資のアニメ制作会社スタジオジブリの設立に繋がることになった。	http://www.tokuma.jp/			シナガワク	ト	6	13	9	2
34	完了	東京都	品川区	学研パブリッシング	141-8510	東京都品川区西五反田2-11-8		35.627392	139.720283	"https://www.google.co.jp/maps/@35.6275394,139.7208068,3a,90y,237.4h,121.24t/data=!3m4!1e1!3m2!1s04JMdAOjJorY3hi8YojMQA!2e0?hl=ja"		03-6431-1600	出版社	カッケンハフリッシンク	「アニメディア」「メガミマガジン」「声優アニメディア 」などを出版している大手出版社。	http://gakken-publishing.co.jp/			シナガワク	カ	6	13	9	2
35	完了	東京都	渋谷区	キッズステーション	150-0001	東京都渋谷区神宮前1-4-16	神宮前M-SQUARE4F	35.67213	139.707725			03-6327-2600	関連企業	キッスステイション	子ども・アニメ専門チャンネル「キッズステーション」の運営会社。	http://www.kids-station.com/			シブヤク	キ	7	13	10	2
36	完了	東京都	渋谷区	神風動画	150-0001	東京都渋谷区神宮前2-26-8	神宮前グリーンビル5～6F	35.673792	139.710109			03-6804-2821	アニメ制作会社	カミカセトウカ	各アニメ・ゲーム作品のオープニング＆エンディング、PVなどの多彩な擬似2D処理を施したアニメーションを作成しているアニメ制作会社。2003年5月21日設立。	http://www.kamikazedouga.co.jp/			シブヤク	カ	1	13	10	2
37	完了	東京都	渋谷区	ビクターエンタテインメント	150-0011	東京都渋谷区東1-2-20	住友不動産渋谷ファーストタワー9～10F	35.657941	139.708857			03-5467-5401	音楽会社	ヒクタアエンタテインメント	音楽会社。				シブヤク	ヒ	5	13	10	2
38	完了	東京都	渋谷区	frying DOG	150-0011	東京都渋谷区東1-2-20 	住友不動産渋谷ファーストタワー10Ｆ	35.657944	139.708846				音楽会社	フラインクトック	ビクターエンタテインメント系列のアニメーション関連映像・音楽ソフト製作及びアニラジ番組を運営する会社。	http://www.jvcmusic.co.jp/flyingdog/			シブヤク	フ	5	13	10	2
39	完了	東京都	渋谷区	AMGスタジオ	150-0011	東京都渋谷区東2-14-14		35.651715	139.709858			03-3406-1275	アフレコスタジオ	エエエムシイスタシオ	アミューズメントメディア総合学院のアフレコスタジオ。	http://amgstudio.jp/			シブヤク	エ	3	13	10	2
40	完了	東京都	渋谷区	ミルキーカートゥーン	150-0011	東京都渋谷区東3-9-19	VORT恵比寿maxim 9F	35.649417	139.711319			03-6418-5377	アニメ制作会社	ミルキイカアトゥウン	フルCGアニメーションの制作会社として創業し、アニメやゲーム、映像作品などの企画･制作、ライセンス業務やプロデュース業務まで幅広く取り扱っている会社。	http://www.milkycartoon.co.jp			シブヤク	ミ	1	13	10	2
41	完了	東京都	渋谷区	バンダイナムコアーツ	150-0013	東京都渋谷区恵比寿1-18-14	恵比寿ファーストスクエア 4～5F	35.647420	139.714631			03-5828-7582	関連企業	ハンタイナムコアーツ	バンダイナムコグループの映像コンテンツ販売会社。<br />1982年に設立されたバンダイのエモーション ビデオ課を前身として、翌1983年にバンダイの映像ソフト販売代理店「AE企画」が設立。<br />1989年に「バンダイビジュアル販売」、1991年に「バンダイビジュアル株式会社」に社名変更。<br />2008年にバンダイナムコホールディングスの完全子会社となり、2018年4月1日には、バンダイナムコグループの再編に伴い、映像を主にしたバンダイビジュアルがアニソンを中心にしたレコード会社のランティスを吸収合併する形で、バンダイナムコグループの「映像音楽プロデュースユニット」の中核という位置づけで「株式会社バンダイナムコアーツ」に社名を変更。	http://www.bandaivisual.co.jp/			シブヤク	ハ	7	13	10	2
42	完了	東京都	渋谷区	プロダクション・エース	150-0021	東京都渋谷区恵比寿西2-3-16	CATビル6F	35.650595	139.707575				声優事務所	プロダクションエエス	1993年7月2日に、アミューズメントメディア総合学院の子会社・トライアルプロダクションとして設立し、2008年には角川プロダクションとアミューズメントメディア総合学院との合弁会社となり、現社名に変更。	https://www.production-ace.co.jp/			シブヤク	フ	2	13	10	2
43	完了	東京都	渋谷区	賢プロダクション	150-0013	東京都渋谷区恵比寿1-22-20	恵比寿幸和ビル4F	35.646154	139.713979			03-3770-5702	声優事務所	ケンフロタクション	声優である故・内海賢二が1984年6月1日に設立した声優事務所。<br />代表取締役社長は内海賢二の息子の内海賢太郎であり、内海賢二の妻で声優の野村道子（内海道子）は事務所の役員で、養成所スクールデュオの代表も務めている。	http://www.kenproduction.co.jp/			シブヤク	ケ	2	13	10	2
44	完了	東京都	渋谷区	神南スタジオ	150-0041	東京都渋谷区神南1-5-19	ハレ神南ビル5F	35.664808	139.699992			03-3770-0010	アフレコスタジオ	シンナンンスタシオ	1993年8月11日設立のアフレコスタジオ。	http://www.jinnan-st.tv/			シブヤク	シ	3	13	10	2
45	完了	東京都	渋谷区	東京俳優生活協同組合　本部／千駄ヶ谷事業所	151-0051	東京都渋谷区千駄ヶ谷5-11-13		35.683441	139.706177				声優事務所	トウキョウハイユウセイカツキョウドウクミアイ1	1960年5月29日に設立された、俳優とマネージャーが出資し共同で運営する生活協同組合で、所属俳優とスタッフの組合員が、投票により選出した理事会によって運営されている。略称は「俳協」。 <br />本部／千駄ヶ谷事業所では、出演事業部、制作事業部、共済部、供給部があります。				シブヤク	ト	2	13	10	2
46	完了	東京都	渋谷区	アイムエンタープライズ	151-0053	東京都渋谷区代々木1-14-3	MAT SUDA BLDG 1F	35.681414	139.700188			03-3372-5908	声優事務所	アイムエンタアフライス	アーツビジョンのグループプロダクションとして1993年に設立した声優事務所。	http://www.imenterprise.jp/			シブヤク	ア	2	13	10	2
47	完了	東京都	渋谷区	アーツビジョン 	151-0053	東京都渋谷区代々木1-14-3	MAT SUDA BLDG 3F	35.681414	139.700188			03-3375-0481	声優事務所	アアツヒション　	東京俳優生活協同組合のマネージャーだった松田咲實が1984年に独立して設立した声優事務所。<br />松田氏が俳協時代の同僚であった江崎プロダクション（現・マウスプロモーション）創業者の江崎加子男氏を同事務所から引き抜き、松田氏が代表取締役を辞任後は、江崎氏が後任として代表取締役に就任。	http://www.artsvision.co.jp/			シブヤク	ア	2	13	10	2
48	完了	東京都	渋谷区	インテンション	151-0053	東京都渋谷区代々木2-21-11	ベルテ代々木II 501	35.686147	139.697600			03-6457-8008	声優事務所	インテンション	アーツビジョンを離籍した声優・鈴村健一が2012年5月1日に設立した声優事務所。	http://intention-k.com/			シブヤク	イ	2	13	10	2
49	完了	東京都	渋谷区	タブリエ・コミュニケーションズ	151-0053	東京都渋谷区代々木4-33-10	トーシンビルB1F	35.681825	139.689046			03-5358-1310	関連企業	タフリエ・コミュニケイションス	アニメ、声優専門のラジオ番組を配信している「インターネットラジオステーション＜音泉＞」の運営会社	http://www.tablier.co.jp/			シブヤク	タ	7	13	10	2
50	完了	東京都	渋谷区	81プロデュース	151-0063	東京都渋谷区富ヶ谷1-3-4	BOF代々木公園2	35.669419	139.689545	"https://www.google.co.jp/maps/@35.6693337,139.6895958,3a,90y,351.15h,113.18t/data=!3m4!1e1!3m2!1snAbOmiRQ0fQCme4qlpTooQ!2e0?hl=ja"		03-3485-7781	声優事務所	エイティイワンフロテュウス	青二プロダクションのマネージャーで、富山敬、神谷明、井上真樹夫、水島裕、三ツ矢雄二、井上和彦といった声優を担当していた南沢道義が、声優の幅広い活動を支持し、声優マネジメントだけに留まらない他業種とのコラボ企画などで事業を大きくしたいとの理由から、1981年2月にぷろだくしょんバオバブの企画制作部門のスタッフらと独立して設立した声優事務所。<br />社名は設立年が由来。<br />音響制作会社のHALF H・P STUDIOは、81プロデュースの100％出資の完全子会社で、代表取締役は南沢道義が務めている。	http://www.81produce.co.jp/			シブヤク	エ	2	13	10	2
51	完了	東京都	渋谷区	HALF H.P STUDIO	151-0063	東京都渋谷区富ヶ谷1-3-4	BOF代々木公園2	35.669419	139.689545	"https://www.google.co.jp/maps/@35.6693337,139.6895958,3a,90y,351.15h,113.18t/data=!3m4!1e1!3m2!1snAbOmiRQ0fQCme4qlpTooQ!2e0?hl=ja"		03-3485-7778	アフレコスタジオ	ハアフエイチヒイスタシオ	声優事務所81プロデュースの100％出資の完全子会社であるアフレコスタジオ。<br />BOF1、BOF2の2つのスタジオがあります。	http://www.half-hp.co.jp/			シブヤク	ハ	3	13	10	2
52	完了	東京都	渋谷区	アクロス エンタテインメント	151-0063	東京都渋谷区富ヶ谷1-41-7	クリサンテ 1009	35.666420	139.690783				声優事務所	アクロスエンタテインメント	東京俳優生活協同組合のマネージャーだった藤崎淳が2008年4月に設立した声優事務所。<br />名前の由来は藤崎淳が好きだったビートルズの名曲「Across the Universe」から。				シブヤク	ア	2	13	10	2
53	完了	東京都	渋谷区	HALF H.P STUDIO BOF3	151-0072	東京都渋谷区幡ヶ谷1-10-7	BOF3幡ヶ谷	35.675331	139.671269			03-3485-7799	アフレコスタジオ	ハアフエイチヒイスタシオヒイオオエフスリイ	声優事務所81プロデュースの100％出資の完全子会社であるアフレコスタジオ。技術部とスタジオがあります。	http://www.half-hp.co.jp/access/bof3.html			シブヤク	ハ	3	13	10	2
